task_id,device_id,arrival_time,deadline,data_size,cpu_cycles,priority,location_x,location_y,raw_location_x,raw_location_y,server_id,server_cpu_utilization,server_mem_utilization,execution_time_s,alibaba_duration_s,difficulty_score,reference_best_case_delay_s,deadline_window_proxy_s,edge_execution_anchor_s,target_edge_service_s,task_name,job_name,task_type_raw,service_class,field_source_arrival_time,field_source_location,field_source_execution_time,field_source_server_context,field_source_workload,field_proxy_deadline,field_proxy_data_size,field_proxy_cpu_cycles,field_proxy_priority,fusion_mode,decision_balance,service_class_mode,arrival_rank,mobility_rank,server_load_score,size_bits,cpu_norm_hint,size_norm_hint
0,1,86382.0,86382.73539294742,1755,1582807912,3,101.61075304733708,569.6670452850329,41.79852637,12.44003157,13,29.0,92.0,0.4216618537902832,401.0,0.701495,0.76864632525,0.7353929474181768,0.4216618537902832,0.7914039564460515,M2,j_71198,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0,0.11851851851851852,0.5105,14376960.0,0.7509523427697149,0.8186216105391367
1,3,86407.0,86407.62225978493,1031,1133855056,1,600.3918969891505,659.8311901318466,41.89714356,12.47295309,11,28.0,91.0,0.4148240089416504,6.0,0.61667,0.5089306545,0.6222597849240411,0.4148240089416504,0.5669275283002854,M1,j_166539,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.00020004000800160032,0.07160493827160494,0.5005,8445952.0,0.6828459604175363,0.696931167262462
2,2,86852.0,86857.96089857927,3990,6646477590,0,666.4247750649675,670.9192246533678,41.91019934,12.47700165,14,31.0,94.0,1.0231890678405762,94.0,0.9462750000000001,2.6047586221875,5.960898579269682,1.0231890678405762,3.3232387951934337,task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,j_75360,3,cloud_batch,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.00040008001600320064,0.23950617283950618,0.5305,32686080.0,1.0,1.0
3,2,87129.0,87129.58818308644,2662,1301217217,3,532.2552475847417,700.4318568190812,41.88367183,12.48777756,25,28.0,89.0,0.408297061920166,237.0,0.47477499999999995,0.8566271822812499,0.5881830864341122,0.408297061920166,0.6506086088865995,M23,j_82634,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.000600120024004801,0.21728395061728395,0.49349999999999994,21807104.0,0.7109554078250478,0.9139281341455565
4,7,87129.0,87129.13084099012,106,97328364,0,569.6663154714457,713.9257277478924,41.89106861,12.49270456,17,26.0,83.0,0.304175853729248,7.0,0.28564,0.046911522375,0.1308409901285459,0.304175853729248,0.09732836462116239,R24_3,j_82634,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0008001600320064013,0.0,0.4595,868352.0,0.18155009125457736,0.1765209241245683
5,3,87134.0,87134.72841233647,2271,1247715566,3,726.0889336868249,686.9256614698985,41.92199592,12.48284606,6,21.0,88.0,0.4008660316467285,264.0,0.44501999999999997,0.7695107229375,0.7284123364618569,0.4008660316467285,0.6238577834010124,R4_3,j_37805,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0010002000400080016,0.10617283950617284,0.44449999999999995,18604032.0,0.7023831694644925,0.8775867275824463
6,7,87144.0,87144.12,49,40000000,0,613.6194319224466,634.718458202228,41.89975886,12.46378371,26,6.0,64.0,0.1127748489379882,314.0,0.176305,0.02028168,0.12,0.1127748489379882,0.03176943617606161,task_ODk2MzU0ODg1MTY5MTExNTUwMg==,j_102105,6,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.001200240048009602,0.01728395061728395,0.26299999999999996,401408.0,0.0,0.0
7,7,87290.0,87290.12,106,40000000,0,589.3392453566305,678.589806955757,41.89495827,12.4798024,14,24.0,88.0,0.1136128902435302,6.0,0.280705,0.03078792,0.12,0.1136128902435302,0.0361569330781102,R3_2,j_124840,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0014002800560112022,0.04691358024691358,0.46399999999999997,868352.0,0.0,0.1765209241245683
8,3,87353.0,87353.12,106,40000000,0,373.2816517399335,949.1404401479552,41.85224015,12.57858821,1,15.0,78.0,0.1115961074829101,3.0,0.255745,0.03078792,0.12,0.1115961074829101,0.03454019492411612,M1,j_108588,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0016003200640128026,0.056790123456790124,0.3705,868352.0,0.0,0.1765209241245683
9,4,88032.0,88033.6269942652,2893,3887152097,3,731.609822421258,739.9411550008558,41.92308749,12.50220354,16,34.0,87.0,0.9887261390686036,104.0,0.7725900000000001,1.62649928728125,1.626994265195622,0.9887261390686036,1.9435760487973694,M1,j_17085,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0018003600720144029,0.17530864197530865,0.5255,23699456.0,0.9343941418694088,0.9329653117952851
