run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,config_batch_id,config_eval_group
b0afb05e,2026-03-31T15:34:05.020414,42,full_model,,1250,0.8,41.67,1.1943,0.0289,74.03,,
ed240eae,2026-03-31T15:34:05.054106,42,w_o_semantics,,1250,0.88,48.33,1.2041,0.0347,81.98,,
a33d9370,2026-03-31T15:34:05.093669,42,w_o_reward_shaping,,1250,0.76,-19.39,1.2875,0.0369,69.56,,
478fb168,2026-03-31T15:34:05.134197,42,w_o_semantic_prior,,1250,0.84,31.22,1.4169,0.0192,76.92,,
5e7cde0a,2026-03-31T15:34:05.172577,42,w_o_confidence,,1250,0.8,38.95,1.2464,0.0249,73.77,,
73406106,2026-03-31T15:34:05.215107,42,w_o_partial_offloading,,1250,0.76,30.33,1.434,0.0151,68.83,,
e767882b,2026-03-31T15:34:05.255912,42,w_o_battery_awareness,,1250,0.88,46.39,1.3079,0.0418,81.46,,
c74a5027,2026-03-31T15:34:05.294918,42,w_o_queue_awareness,,1250,0.88,45.57,1.2276,0.0362,81.86,,
0a4c7c70,2026-03-31T15:34:05.334622,42,w_o_mobility_features,,1250,0.84,45.51,1.2675,0.0476,77.66,,
0f57769d,2026-04-01T14:55:20.182954,42,full_model,,1250,0.88,59.57,1.0748,0.0549,82.63,,
3b38b905,2026-04-01T14:55:20.221825,42,w_o_semantics,,1250,0.84,44.52,1.2066,0.0395,77.97,,
0d39ea7e,2026-04-01T14:55:20.292537,42,w_o_reward_shaping,,1250,0.6,-1.35,1.333,0.0349,53.33,,
65ac5cc8,2026-04-01T14:55:20.359277,42,w_o_semantic_prior,,1250,0.84,32.98,1.3819,0.0343,77.09,,
c20e7cca,2026-04-01T14:55:20.455561,42,w_o_confidence,,1250,0.76,45.55,1.2394,0.0506,69.8,,
2e9c28dd,2026-04-01T14:55:20.555557,42,w_o_partial_offloading,,1250,0.68,33.78,1.327,0.0149,61.36,,
c441457e,2026-04-01T14:55:20.626793,42,w_o_battery_awareness,,1250,0.72,44.45,1.3682,0.0644,65.16,,
fc72d6be,2026-04-01T14:55:20.695505,42,w_o_queue_awareness,,1250,0.8,38.12,1.2903,0.0377,73.55,,
e01facd6,2026-04-01T14:55:20.821566,42,w_o_mobility_features,,1250,0.84,46.9,1.3333,0.0515,77.33,,
80aed7f6,2026-04-01T15:06:45.936915,42,full_model,,1250,0.8232,2101.88,2.0716,0.0385,71.96,,
a4c3063e,2026-04-01T15:06:46.947594,42,w_o_semantics,,1250,0.8008,2000.07,2.0081,0.0336,70.04,,
9ec651bb,2026-04-01T15:06:48.785000,42,w_o_reward_shaping,,1250,0.8168,-66.15,2.044,0.039,71.46,,
e7c99dad,2026-04-01T15:06:50.581661,42,w_o_semantic_prior,,1250,0.8296,2156.6,2.0852,0.0397,72.53,,
5ea3b330,2026-04-01T15:06:52.397542,42,w_o_confidence,,1250,0.8032,2108.68,2.1028,0.0425,69.81,,
59281809,2026-04-01T15:06:54.250569,42,w_o_partial_offloading,,1250,0.8032,1616.02,2.4143,0.0134,68.25,,
19d2b796,2026-04-01T15:06:56.017043,42,w_o_battery_awareness,,1250,0.8184,2109.14,2.0974,0.0406,71.35,,
e2781b28,2026-04-01T15:06:57.874552,42,w_o_queue_awareness,,1250,0.8048,2107.07,2.0454,0.0393,70.25,,
7b92719b,2026-04-01T15:06:59.726484,42,w_o_mobility_features,,1250,0.8184,2071.12,2.0759,0.0391,71.46,,
d31ca5e6,2026-04-01T15:20:44.393900,42,full_model,action_prior,1250,0.8232,2100.95,2.063,0.0374,72.0,ablation_20260401_152041,ablation_multiseed
ec14774c,2026-04-01T15:20:46.199864,43,full_model,action_prior,1250,0.8328,2153.92,2.0564,0.0387,73.0,ablation_20260401_152041,ablation_multiseed
2c141eb3,2026-04-01T15:20:48.009724,44,full_model,action_prior,1250,0.8336,2144.6,2.0531,0.0412,73.09,ablation_20260401_152041,ablation_multiseed
3789eb5d,2026-04-01T15:20:49.041760,42,w_o_semantics,action_prior,1250,0.8264,2033.8,2.0113,0.0342,72.58,ablation_20260401_152041,ablation_multiseed
497aef2a,2026-04-01T15:20:50.115388,43,w_o_semantics,action_prior,1250,0.8312,2077.9,1.9905,0.0355,73.17,ablation_20260401_152041,ablation_multiseed
b65f88cb,2026-04-01T15:20:51.272762,44,w_o_semantics,action_prior,1250,0.8328,2070.72,1.9956,0.0371,73.3,ablation_20260401_152041,ablation_multiseed
f4662a71,2026-04-01T15:20:53.069586,42,w_o_reward_shaping,action_prior,1250,0.8232,-65.58,2.063,0.0374,72.0,ablation_20260401_152041,ablation_multiseed
dd712fe8,2026-04-01T15:20:54.998589,43,w_o_reward_shaping,action_prior,1250,0.8328,-65.88,2.0564,0.0387,73.0,ablation_20260401_152041,ablation_multiseed
bc411ba5,2026-04-01T15:20:56.873965,44,w_o_reward_shaping,action_prior,1250,0.8336,-65.69,2.0531,0.0412,73.09,ablation_20260401_152041,ablation_multiseed
a65de4d2,2026-04-01T15:20:58.752532,42,w_o_semantic_prior,action_prior,1250,0.8232,2100.95,2.063,0.0374,72.0,ablation_20260401_152041,ablation_multiseed
723be1ee,2026-04-01T15:21:00.607773,43,w_o_semantic_prior,action_prior,1250,0.8328,2153.92,2.0564,0.0387,73.0,ablation_20260401_152041,ablation_multiseed
e0d3ec62,2026-04-01T15:21:02.477690,44,w_o_semantic_prior,action_prior,1250,0.8336,2144.6,2.0531,0.0412,73.09,ablation_20260401_152041,ablation_multiseed
32322224,2026-04-01T15:21:04.350216,42,w_o_confidence,action_prior,1250,0.8232,2100.95,2.063,0.0374,72.0,ablation_20260401_152041,ablation_multiseed
873663a1,2026-04-01T15:21:06.229992,43,w_o_confidence,action_prior,1250,0.8328,2153.92,2.0564,0.0387,73.0,ablation_20260401_152041,ablation_multiseed
52f5f5e0,2026-04-01T15:21:08.007141,44,w_o_confidence,action_prior,1250,0.8336,2144.6,2.0531,0.0412,73.09,ablation_20260401_152041,ablation_multiseed
476a9118,2026-04-01T15:21:09.865439,42,w_o_partial_offloading,action_prior,1250,0.7984,1603.39,2.3681,0.0121,68.0,ablation_20260401_152041,ablation_multiseed
580ebed6,2026-04-01T15:21:11.698350,43,w_o_partial_offloading,action_prior,1250,0.796,1623.15,2.3599,0.0118,67.8,ablation_20260401_152041,ablation_multiseed
355c68ed,2026-04-01T15:21:13.593596,44,w_o_partial_offloading,action_prior,1250,0.8048,1611.13,2.3573,0.0146,68.69,ablation_20260401_152041,ablation_multiseed
11db92b1,2026-04-01T15:21:15.417136,42,w_o_battery_awareness,action_prior,1250,0.8232,2100.95,2.063,0.0374,72.0,ablation_20260401_152041,ablation_multiseed
97a7713f,2026-04-01T15:21:17.290318,43,w_o_battery_awareness,action_prior,1250,0.8328,2153.92,2.0564,0.0387,73.0,ablation_20260401_152041,ablation_multiseed
941d8876,2026-04-01T15:21:19.140446,44,w_o_battery_awareness,action_prior,1250,0.8336,2144.78,2.0531,0.0413,73.09,ablation_20260401_152041,ablation_multiseed
41969c14,2026-04-01T15:21:21.061267,42,w_o_queue_awareness,action_prior,1250,0.8232,2100.95,2.063,0.0374,72.0,ablation_20260401_152041,ablation_multiseed
2dac6c9c,2026-04-01T15:21:22.992996,43,w_o_queue_awareness,action_prior,1250,0.8328,2153.92,2.0564,0.0387,73.0,ablation_20260401_152041,ablation_multiseed
661594b2,2026-04-01T15:21:24.875895,44,w_o_queue_awareness,action_prior,1250,0.8336,2144.6,2.0531,0.0412,73.09,ablation_20260401_152041,ablation_multiseed
eafcbf16,2026-04-01T15:21:26.734447,42,w_o_mobility_features,action_prior,1250,0.824,2104.08,2.0624,0.0372,72.09,ablation_20260401_152041,ablation_multiseed
13f6f738,2026-04-01T15:21:28.622834,43,w_o_mobility_features,action_prior,1250,0.8328,2153.27,2.0566,0.0389,73.0,ablation_20260401_152041,ablation_multiseed
