run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,config_batch_id,config_eval_group
be488b41,2026-03-31T15:31:55.466059,42,PPO_v2_Retrained,action_prior,500,1.0,65.77,1.0374,0.0505,94.81,,
291d9f4a,2026-04-01T14:49:58.863827,42,DQN_v2,action_prior,500,1.0,45.56,0.8804,0.0126,95.6,,
b8d487b8,2026-04-01T14:50:58.541814,42,A2C_v2,action_prior,500,0.9,38.84,1.1008,0.0217,84.5,,
94eb04d7,2026-04-01T14:54:42.464887,42,LocalOnly,,150,0.3333,-132.5,5.5036,0.5504,5.82,,
157a88e6,2026-04-01T14:54:42.479982,42,EdgeOnly,,150,0.3333,-10.69,2.7634,0.0123,19.52,,
3676b88b,2026-04-01T14:54:42.491593,42,CloudOnly,,150,1.0,21.53,1.451,0.0129,92.75,,
129ca42b,2026-04-01T14:54:42.504132,42,Random,,150,0.3333,-85.27,4.3445,0.3954,11.61,,
1c40cf6a,2026-04-01T14:54:42.516676,42,GreedyLatency,,150,1.0,23.72,1.4401,0.0066,92.8,,
979657c3,2026-04-01T14:54:42.537512,42,GeneticAlgorithm,,150,1.0,46.58,1.0648,0.0217,94.68,,
76f7a610,2026-04-01T14:54:42.554193,42,PPO_v2,,150,0.6667,8.28,1.7156,0.0094,58.09,,
ccdfba24,2026-04-01T14:54:42.564835,42,DQN_v2,,150,1.0,43.06,1.0684,0.0155,94.66,,
46f8a10d,2026-04-01T14:54:42.572063,42,A2C_v2,,150,1.0,34.46,1.2401,0.0061,93.8,,
b17f2571,2026-04-01T15:06:23.912972,42,LocalOnly,,500,0.282,-5117.44,9.5584,0.5019,-19.59,,
506774f2,2026-04-01T15:06:24.438274,42,EdgeOnly,,500,0.572,-129.79,4.6056,0.013,34.17,,
7b02c9f7,2026-04-01T15:06:24.948410,42,CloudOnly,,500,0.854,1674.65,2.0168,0.0132,75.32,,
5adefafc,2026-04-01T15:06:25.457861,42,Random,,500,0.53,-961.31,7.3736,0.2252,16.13,,
ecbfe5e8,2026-04-01T15:06:25.996778,42,GreedyLatency,,500,0.874,1704.5,1.9736,0.0118,77.53,,
dda98bcf,2026-04-01T15:06:26.615840,42,GeneticAlgorithm,,500,0.822,1738.23,2.0946,0.0186,71.73,,
a6d806d0,2026-04-01T15:06:27.291373,42,PPO_v2,,500,0.802,2148.74,2.0815,0.0434,69.79,,
3dfda75e,2026-04-01T15:06:27.962466,42,DQN_v2,,500,0.84,1728.99,1.9785,0.0125,74.11,,
e3fdcc80,2026-04-01T15:06:28.648314,42,A2C_v2,,500,0.858,1573.62,2.0096,0.014,75.75,,
