run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,config_batch_id,config_eval_group
8196061d,2026-04-01T15:18:10.485498,42,LocalOnly,action_prior,500,0.238,-5624.6,9.3721,0.5255,-23.06,baseline_20260401_151809,baseline_multiseed
19c3608a,2026-04-01T15:18:11.022724,42,EdgeOnly,action_prior,500,0.534,-475.71,4.7104,0.0117,29.85,baseline_20260401_151809,baseline_multiseed
49221426,2026-04-01T15:18:11.553011,42,CloudOnly,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,baseline_20260401_151809,baseline_multiseed
5f151248,2026-04-01T15:18:12.078153,42,Random,action_prior,500,0.518,-1046.92,7.2127,0.2245,15.74,baseline_20260401_151809,baseline_multiseed
12ae8fcb,2026-04-01T15:18:12.595562,42,GreedyLatency,action_prior,500,0.84,1618.09,1.9987,0.0118,74.01,baseline_20260401_151809,baseline_multiseed
2a14fd82,2026-04-01T15:18:13.209195,42,GeneticAlgorithm,action_prior,500,0.838,1659.8,2.0498,0.0176,73.55,baseline_20260401_151809,baseline_multiseed
680ce66c,2026-04-01T15:18:14.867454,42,PPO_v2,action_prior,500,0.816,2029.24,2.0626,0.0378,71.29,baseline_20260401_151809,baseline_multiseed
50e99c81,2026-04-01T15:18:15.517855,42,DQN_v2,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,baseline_20260401_151809,baseline_multiseed
1d9a807a,2026-04-01T15:18:16.276524,42,A2C_v2,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,baseline_20260401_151809,baseline_multiseed
d643e48c,2026-04-01T15:18:16.793164,43,LocalOnly,action_prior,500,0.242,-5607.5,9.3276,0.5257,-22.44,baseline_20260401_151809,baseline_multiseed
c3302d3d,2026-04-01T15:18:17.328323,43,EdgeOnly,action_prior,500,0.534,-479.49,4.6917,0.0116,29.94,baseline_20260401_151809,baseline_multiseed
2e86ce06,2026-04-01T15:18:17.856591,43,CloudOnly,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,baseline_20260401_151809,baseline_multiseed
0f611944,2026-04-01T15:18:18.384311,43,Random,action_prior,500,0.52,-773.71,6.7906,0.2097,18.05,baseline_20260401_151809,baseline_multiseed
1746777c,2026-04-01T15:18:18.912736,43,GreedyLatency,action_prior,500,0.854,1665.13,1.9924,0.0116,75.44,baseline_20260401_151809,baseline_multiseed
08bbf817,2026-04-01T15:18:19.523705,43,GeneticAlgorithm,action_prior,500,0.838,1685.24,2.052,0.0161,73.54,baseline_20260401_151809,baseline_multiseed
dd282d83,2026-04-01T15:18:20.291723,43,PPO_v2,action_prior,500,0.826,2071.38,2.0521,0.0379,72.34,baseline_20260401_151809,baseline_multiseed
74925db3,2026-04-01T15:18:20.991638,43,DQN_v2,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,baseline_20260401_151809,baseline_multiseed
c2857e68,2026-04-01T15:18:21.786592,43,A2C_v2,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,baseline_20260401_151809,baseline_multiseed
81358145,2026-04-01T15:18:22.305162,44,LocalOnly,action_prior,500,0.288,-5001.09,9.3181,0.4959,-17.79,baseline_20260401_151809,baseline_multiseed
617c2285,2026-04-01T15:18:22.832983,44,EdgeOnly,action_prior,500,0.572,-178.96,4.6859,0.0144,33.77,baseline_20260401_151809,baseline_multiseed
9f4123c1,2026-04-01T15:18:23.349655,44,CloudOnly,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,baseline_20260401_151809,baseline_multiseed
e48f9c27,2026-04-01T15:18:23.873567,44,Random,action_prior,500,0.552,-806.03,7.4138,0.2183,18.13,baseline_20260401_151809,baseline_multiseed
038f009e,2026-04-01T15:18:24.395360,44,GreedyLatency,action_prior,500,0.852,1748.29,1.9916,0.0144,75.24,baseline_20260401_151809,baseline_multiseed
09e3e30b,2026-04-01T15:18:24.984775,44,GeneticAlgorithm,action_prior,500,0.858,1713.94,2.0467,0.0185,75.57,baseline_20260401_151809,baseline_multiseed
f9d70322,2026-04-01T15:18:25.780073,44,PPO_v2,action_prior,500,0.834,2199.15,2.0526,0.0383,73.14,baseline_20260401_151809,baseline_multiseed
827c7c74,2026-04-01T15:18:26.500987,44,DQN_v2,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,baseline_20260401_151809,baseline_multiseed
7c985bca,2026-04-01T15:18:27.286333,44,A2C_v2,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,baseline_20260401_151809,baseline_multiseed
2b668bf1,2026-04-01T15:20:06.982031,42,LocalOnly,action_prior,500,0.238,-5624.6,9.3721,0.5255,-23.06,baseline_20260401_152006,baseline_multiseed
21405ab7,2026-04-01T15:20:07.507546,42,EdgeOnly,action_prior,500,0.534,-475.71,4.7104,0.0117,29.85,baseline_20260401_152006,baseline_multiseed
bd120945,2026-04-01T15:20:08.024490,42,CloudOnly,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,baseline_20260401_152006,baseline_multiseed
8ba32117,2026-04-01T15:20:08.532786,42,Random,action_prior,500,0.518,-1046.92,7.2127,0.2245,15.74,baseline_20260401_152006,baseline_multiseed
53e4def4,2026-04-01T15:20:09.054444,42,GreedyLatency,action_prior,500,0.84,1618.09,1.9987,0.0118,74.01,baseline_20260401_152006,baseline_multiseed
7b004fe1,2026-04-01T15:20:09.659202,42,GeneticAlgorithm,action_prior,500,0.838,1659.8,2.0498,0.0176,73.55,baseline_20260401_152006,baseline_multiseed
18766017,2026-04-01T15:20:11.201952,42,PPO_v2,action_prior,500,0.816,2029.24,2.0626,0.0378,71.29,baseline_20260401_152006,baseline_multiseed
a9ef5a59,2026-04-01T15:20:11.873600,42,DQN_v2,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,baseline_20260401_152006,baseline_multiseed
003f2ce7,2026-04-01T15:20:12.659460,42,A2C_v2,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,baseline_20260401_152006,baseline_multiseed
2b84c77c,2026-04-01T15:20:13.286807,43,LocalOnly,action_prior,500,0.242,-5607.5,9.3276,0.5257,-22.44,baseline_20260401_152006,baseline_multiseed
eaa10c90,2026-04-01T15:20:13.828620,43,EdgeOnly,action_prior,500,0.534,-479.49,4.6917,0.0116,29.94,baseline_20260401_152006,baseline_multiseed
136679d1,2026-04-01T15:20:14.365151,43,CloudOnly,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,baseline_20260401_152006,baseline_multiseed
ed768ce2,2026-04-01T15:20:14.902106,43,Random,action_prior,500,0.52,-773.71,6.7906,0.2097,18.05,baseline_20260401_152006,baseline_multiseed
b90161d8,2026-04-01T15:20:15.434457,43,GreedyLatency,action_prior,500,0.854,1665.13,1.9924,0.0116,75.44,baseline_20260401_152006,baseline_multiseed
95564c36,2026-04-01T15:20:16.102454,43,GeneticAlgorithm,action_prior,500,0.838,1685.24,2.052,0.0161,73.54,baseline_20260401_152006,baseline_multiseed
8c1891d9,2026-04-01T15:20:16.888581,43,PPO_v2,action_prior,500,0.826,2071.38,2.0521,0.0379,72.34,baseline_20260401_152006,baseline_multiseed
5e7642e2,2026-04-01T15:20:17.562576,43,DQN_v2,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,baseline_20260401_152006,baseline_multiseed
c482ddd0,2026-04-01T15:20:18.347275,43,A2C_v2,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,baseline_20260401_152006,baseline_multiseed
c2a24a31,2026-04-01T15:20:18.904627,44,LocalOnly,action_prior,500,0.288,-5001.09,9.3181,0.4959,-17.79,baseline_20260401_152006,baseline_multiseed
865ef2ee,2026-04-01T15:20:19.444571,44,EdgeOnly,action_prior,500,0.572,-178.96,4.6859,0.0144,33.77,baseline_20260401_152006,baseline_multiseed
887fb638,2026-04-01T15:20:20.019694,44,CloudOnly,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,baseline_20260401_152006,baseline_multiseed
01fc9e31,2026-04-01T15:20:20.554458,44,Random,action_prior,500,0.552,-806.03,7.4138,0.2183,18.13,baseline_20260401_152006,baseline_multiseed
e181e74a,2026-04-01T15:20:21.167779,44,GreedyLatency,action_prior,500,0.852,1748.29,1.9916,0.0144,75.24,baseline_20260401_152006,baseline_multiseed
d206a085,2026-04-01T15:20:21.782214,44,GeneticAlgorithm,action_prior,500,0.858,1713.94,2.0467,0.0185,75.57,baseline_20260401_152006,baseline_multiseed
d1bb5fe2,2026-04-01T15:20:22.558288,44,PPO_v2,action_prior,500,0.834,2199.15,2.0526,0.0383,73.14,baseline_20260401_152006,baseline_multiseed
7b06f244,2026-04-01T15:20:23.220385,44,DQN_v2,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,baseline_20260401_152006,baseline_multiseed
