run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
ee28a978,2026-05-18T16:02:31.197068,42,full_model,action_prior,500,0.662,0.338,6756.6727,0.6107,1.4937,2.7276,2.3545,0.046269,0.069893,0.527,0.1326,0.0357,0.0612,0.0,1.0,0.3027,58.7315,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
c783876c,2026-05-18T16:02:31.510319,43,full_model,action_prior,500,0.662,0.338,6756.6703,0.6107,1.4939,2.7263,2.3531,0.046264,0.069885,0.5266,0.1327,0.0358,0.0612,0.0,1.0,0.2758,58.7305,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
26f60618,2026-05-18T16:02:31.857947,44,full_model,action_prior,500,0.49,0.51,4940.257,0.6988,1.8229,3.4391,2.9486,0.074836,0.152726,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.3092,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
29080583,2026-05-18T16:02:31.981235,42,w_o_semantics,action_prior,500,0.24,0.76,3175.0401,0.7845,1.9457,3.59,3.1049,0.017775,0.074062,0.6987,0.0614,0.198,0.0793,0.0,0.0,0.1582,14.2714,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
64930079,2026-05-18T16:02:32.125817,43,w_o_semantics,action_prior,500,0.606,0.394,6601.3849,0.6213,1.5051,2.7318,2.3594,0.049522,0.08172,0.5257,0.1269,0.048,0.0612,0.0,1.0,0.177,53.0747,2,0.3678,0.3122,0.0,0.0,0.37,0.63,0.0,0.0,0.0,0.0,0.5514,0.6381,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
3390f528,2026-05-18T16:02:32.257153,44,w_o_semantics,action_prior,500,0.664,0.336,7033.4057,0.6107,1.4936,2.7265,2.354,0.046266,0.069678,0.5269,0.1326,0.0357,0.0612,0.0,1.0,0.1873,58.9321,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
33b35052,2026-05-18T16:02:32.557308,42,w_o_reward_shaping,action_prior,500,0.49,0.51,-531.6218,0.6988,1.8229,3.4391,2.9486,0.074849,0.152752,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.2579,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
3f3c4350,2026-05-18T16:02:32.829410,43,w_o_reward_shaping,action_prior,500,0.23,0.77,-545.7377,0.7253,1.8142,2.0414,2.0278,0.017736,0.077115,0.4822,0.1225,0.2262,0.0764,0.0,0.0,0.2359,13.9288,2,0.1236,0.1871,0.0,0.0,0.0,0.0,0.942,0.058,0.0,0.0,0.0,0.0,0.1996,0.7241,4,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
3abf66cd,2026-05-18T16:02:33.095567,44,w_o_reward_shaping,action_prior,500,0.24,0.76,-590.1456,0.7845,1.9458,3.5995,3.1028,0.017775,0.074063,0.698,0.0615,0.1981,0.0793,0.0,0.0,0.2342,14.2711,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
27bf32ff,2026-05-18T16:02:33.451046,42,w_o_semantic_prior,action_prior,500,0.662,0.338,6756.8016,0.6107,1.4937,2.7228,2.3544,0.046245,0.069856,0.527,0.1326,0.0357,0.0612,0.0,1.0,0.3007,58.7317,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_a2c_eval_20260518_160217,real_data_ablation_evaluation
