run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
ee727660,2026-05-18T15:24:44.385049,42,full_model,action_prior,500,0.664,0.336,6775.1151,0.6106,1.4942,2.7227,2.3532,0.046222,0.069611,0.5267,0.1328,0.0358,0.0612,0.0,1.0,0.3015,58.9291,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
4c185a7f,2026-05-18T15:24:54.418431,43,full_model,action_prior,500,0.664,0.336,6774.9728,0.6107,1.4937,2.7328,2.3557,0.046253,0.069658,0.5274,0.1326,0.0356,0.0612,0.0,1.0,0.3109,58.9313,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
6fb33654,2026-05-18T15:25:04.535043,44,full_model,action_prior,500,0.49,0.51,4940.2817,0.6988,1.8229,3.4391,2.9486,0.07481,0.152674,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.2685,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
9f9f3eff,2026-05-18T15:25:10.825353,42,w_o_semantics,action_prior,500,0.24,0.76,3174.9291,0.7845,1.9453,3.6,3.1049,0.017789,0.074123,0.6987,0.0614,0.198,0.0793,0.0,0.0,0.1822,14.2736,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
ff4b8702,2026-05-18T15:25:16.969512,43,w_o_semantics,action_prior,500,0.604,0.396,6583.7782,0.6211,1.5052,2.7328,2.3568,0.049437,0.081849,0.5249,0.127,0.048,0.0612,0.0,1.0,0.1674,52.8739,2,0.3678,0.3122,0.0,0.0,0.37,0.63,0.0,0.0,0.0,0.0,0.5514,0.6349,0.0,0.0,3,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
51310d71,2026-05-18T15:25:23.142305,44,w_o_semantics,action_prior,500,0.664,0.336,7033.4715,0.6107,1.4941,2.7284,2.3535,0.046257,0.069664,0.5268,0.1327,0.0358,0.0612,0.0,1.0,0.2169,58.9297,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
ef4b8658,2026-05-18T15:25:33.001636,42,w_o_reward_shaping,action_prior,500,0.49,0.51,-531.6217,0.6988,1.8229,3.4391,2.9486,0.074844,0.152744,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.2572,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
130dc833,2026-05-18T15:25:43.018403,43,w_o_reward_shaping,action_prior,500,0.23,0.77,-545.6852,0.7252,1.8147,2.0417,2.0272,0.017704,0.076972,0.482,0.1225,0.2261,0.0764,0.0,0.0,0.2998,13.9265,2,0.1236,0.1871,0.0,0.0,0.0,0.0,0.942,0.058,0.0,0.0,0.0,0.0,0.1996,0.7241,4,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
7f8a0440,2026-05-18T15:25:53.023026,44,w_o_reward_shaping,action_prior,500,0.24,0.76,-590.0888,0.7844,1.9452,3.6001,3.1047,0.01774,0.073915,0.6987,0.0614,0.1979,0.0793,0.0,0.0,0.2291,14.2742,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
c8f7553a,2026-05-18T15:26:02.860546,42,w_o_semantic_prior,action_prior,500,0.664,0.336,6774.2712,0.6109,1.4936,2.7311,2.3546,0.046336,0.069784,0.5271,0.1326,0.0359,0.0612,0.0,1.0,0.269,58.9318,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_a2c_retrain_20260518_151300,real_data_ablation_retraining
