run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
4666721b,2026-05-18T16:02:25.766662,42,full_model,action_prior,500,0.49,0.51,4940.2552,0.6988,1.8229,3.4391,2.9486,0.07485,0.152755,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1364,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
0085b6fb,2026-05-18T16:02:25.971086,43,full_model,action_prior,500,0.242,0.758,3042.4421,0.7842,1.9463,3.5934,3.1015,0.017625,0.072832,0.6977,0.0615,0.1978,0.0793,0.0,0.0,0.1353,14.4686,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.242,0.0,4,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
50aa0aeb,2026-05-18T16:02:26.199521,44,full_model,action_prior,500,0.49,0.51,4940.2345,0.6988,1.8229,3.4391,2.9486,0.074825,0.152704,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1532,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
8ffec0cd,2026-05-18T16:02:26.281983,42,w_o_semantics,action_prior,500,0.664,0.336,7033.9822,0.6106,1.4936,2.7307,2.3535,0.046188,0.06956,0.5267,0.1327,0.0357,0.0612,0.0,1.0,0.0829,58.9318,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
fb956ede,2026-05-18T16:02:26.367594,43,w_o_semantics,action_prior,500,0.216,0.784,2490.509,1.0249,2.714,5.1436,4.4058,0.103413,0.478762,1.0075,0.0166,0.4323,0.0612,0.0,1.0,0.0886,8.0299,1,-0.0,0.1667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.0,0.0,1,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
1df2da86,2026-05-18T16:02:26.454355,44,w_o_semantics,action_prior,500,0.662,0.338,7015.5022,0.6107,1.4938,2.7277,2.3538,0.046247,0.06986,0.5268,0.1327,0.0358,0.0612,0.0,1.0,0.091,58.7308,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
0dc91032,2026-05-18T16:02:26.658701,42,w_o_reward_shaping,action_prior,500,0.662,0.338,-462.7636,0.6108,1.494,2.7277,2.3548,0.046328,0.069982,0.5271,0.1326,0.0358,0.0612,0.0,1.0,0.1392,58.7301,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
991783d9,2026-05-18T16:02:26.857319,43,w_o_reward_shaping,action_prior,500,0.662,0.338,-462.7233,0.6108,1.4934,2.7274,2.3549,0.046303,0.069944,0.5272,0.1327,0.0359,0.0612,0.0,1.0,0.137,58.7331,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
cf024f07,2026-05-18T16:02:27.074040,44,w_o_reward_shaping,action_prior,500,0.662,0.338,-462.6965,0.6108,1.4939,2.728,2.3532,0.046286,0.069918,0.5266,0.1327,0.0359,0.0612,0.0,1.0,0.1446,58.7306,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
d9f39c44,2026-05-18T16:02:27.274022,42,w_o_semantic_prior,action_prior,500,0.49,0.51,4940.2749,0.6988,1.8229,3.4391,2.9486,0.07484,0.152734,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1378,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
fc0a7228,2026-05-18T16:02:27.485444,43,w_o_semantic_prior,action_prior,500,0.664,0.336,6774.95,0.6106,1.4936,2.7327,2.3533,0.046229,0.069622,0.5266,0.1327,0.0357,0.0612,0.0,1.0,0.139,58.9318,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
1e7f6d9b,2026-05-18T16:02:27.685080,44,w_o_semantic_prior,action_prior,500,0.49,0.51,4940.2882,0.6988,1.8229,3.4391,2.9486,0.074816,0.152686,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1361,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
473ebfe1,2026-05-18T16:02:27.887179,42,w_o_confidence,action_prior,500,0.24,0.76,3175.2045,0.7845,1.9455,3.5973,3.1053,0.017758,0.07399,0.6989,0.0613,0.1978,0.0793,0.0,0.0,0.138,14.2725,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
dd3810a8,2026-05-18T16:02:28.091830,43,w_o_confidence,action_prior,500,0.662,0.338,7015.5061,0.6107,1.4937,2.7236,2.3546,0.046249,0.069863,0.5271,0.1327,0.0358,0.0612,0.0,1.0,0.1362,58.7313,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
54c5aa6e,2026-05-18T16:02:28.300092,44,w_o_confidence,action_prior,500,0.24,0.76,3174.9678,0.7845,1.9458,3.602,3.1052,0.017787,0.074113,0.6988,0.0613,0.198,0.0793,0.0,0.0,0.1373,14.2708,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_dqn_eval_20260518_160217,real_data_ablation_evaluation
