run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
6ebfcb28,2026-05-18T15:19:14.484777,42,full_model,action_prior,500,0.49,0.51,4940.2417,0.6988,1.8229,3.4391,2.9486,0.074849,0.152753,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1369,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
363869d7,2026-05-18T15:19:26.635835,43,full_model,action_prior,500,0.24,0.76,3027.1438,0.7843,1.9451,3.5954,3.1024,0.01768,0.073667,0.6979,0.0615,0.1979,0.0793,0.0,0.0,0.1352,14.2744,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
0d300c20,2026-05-18T15:19:38.803890,44,full_model,action_prior,500,0.49,0.51,4940.2955,0.6988,1.8229,3.4391,2.9486,0.074825,0.152705,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1326,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
6ebbffa1,2026-05-18T15:19:46.519257,42,w_o_semantics,action_prior,500,0.662,0.338,7014.7627,0.6109,1.4943,2.733,2.3558,0.046369,0.070044,0.5274,0.1326,0.0359,0.0612,0.0,1.0,0.0958,58.7284,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
38400db1,2026-05-18T15:19:54.148127,43,w_o_semantics,action_prior,500,0.216,0.784,2490.5505,1.0249,2.714,5.1436,4.4058,0.103386,0.478637,1.0075,0.0166,0.4323,0.0612,0.0,1.0,0.1019,8.0299,1,-0.0,0.1667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.0,0.0,1,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
ffa6e177,2026-05-18T15:20:01.757450,44,w_o_semantics,action_prior,500,0.664,0.336,7033.4426,0.6107,1.4938,2.7298,2.3542,0.046263,0.069674,0.527,0.1326,0.0357,0.0612,0.0,1.0,0.1055,58.9309,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
98739fc8,2026-05-18T15:20:13.868776,42,w_o_reward_shaping,action_prior,500,0.664,0.336,-462.6745,0.6107,1.4939,2.7323,2.3537,0.046272,0.069687,0.5268,0.1327,0.0358,0.0612,0.0,1.0,0.137,58.9304,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
dacdab19,2026-05-18T15:20:26.238815,43,w_o_reward_shaping,action_prior,500,0.662,0.338,-462.7159,0.6108,1.4934,2.7257,2.3545,0.046298,0.069937,0.527,0.1326,0.0358,0.0612,0.0,1.0,0.1367,58.733,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
ca816ca6,2026-05-18T15:20:38.388086,44,w_o_reward_shaping,action_prior,500,0.664,0.336,-462.6682,0.6107,1.4943,2.7229,2.3542,0.046268,0.069681,0.5269,0.1327,0.0358,0.0612,0.0,1.0,0.14,58.9283,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
dc60358e,2026-05-18T15:20:50.434941,42,w_o_semantic_prior,action_prior,500,0.49,0.51,4940.168,0.6988,1.8229,3.4391,2.9486,0.074855,0.152765,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.1354,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_dqn_retrain_20260518_151300,real_data_ablation_retraining
