run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
d00121f0,2026-05-18T16:02:18.177653,42,full_model,action_prior,500,0.664,0.336,6774.5993,0.6108,1.4939,2.7324,2.3557,0.046318,0.069757,0.5275,0.1326,0.0358,0.0612,0.0,1.0,0.2857,58.9306,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
f3d93a65,2026-05-18T16:02:18.473735,43,full_model,action_prior,500,0.664,0.336,6774.7558,0.6107,1.4935,2.7254,2.3544,0.046271,0.069685,0.5271,0.1326,0.0358,0.0612,0.0,1.0,0.2591,58.9324,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
d6980d8d,2026-05-18T16:02:18.786543,44,full_model,action_prior,500,0.664,0.336,6775.0087,0.6107,1.4937,2.7287,2.3539,0.046235,0.069631,0.5269,0.1327,0.0357,0.0612,0.0,1.0,0.2679,58.9316,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
d9503e37,2026-05-18T16:02:18.907239,42,w_o_semantics,action_prior,500,0.662,0.338,7015.4574,0.6107,1.4933,2.7326,2.3541,0.046255,0.069872,0.5269,0.1327,0.0357,0.0612,0.0,1.0,0.1584,58.7333,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
a13e8ab0,2026-05-18T16:02:19.073954,43,w_o_semantics,action_prior,500,0.664,0.336,7033.4331,0.6108,1.4937,2.723,2.3558,0.046286,0.069708,0.5274,0.1326,0.0357,0.0612,0.0,1.0,0.2201,58.9316,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
c6b47388,2026-05-18T16:02:19.231752,44,w_o_semantics,action_prior,500,0.662,0.338,7015.1115,0.6108,1.4934,2.7327,2.3536,0.046298,0.069937,0.5267,0.1327,0.0359,0.0612,0.0,1.0,0.1965,58.7329,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
4319e05d,2026-05-18T16:02:19.524176,42,w_o_reward_shaping,action_prior,500,0.664,0.336,-462.7699,0.6108,1.4939,2.7299,2.3553,0.046332,0.069777,0.5273,0.1326,0.0359,0.0612,0.0,1.0,0.2496,58.9305,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
d2dd4a81,2026-05-18T16:02:19.873480,43,w_o_reward_shaping,action_prior,500,0.18,0.82,-654.8987,0.8708,1.4484,2.1403,1.9098,0.017874,0.099297,0.3956,0.1166,0.8473,0.2527,0.0,0.1,0.3049,10.758,2,0.1814,0.2033,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0889,5,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
3bbe5c84,2026-05-18T16:02:20.196267,44,w_o_reward_shaping,action_prior,500,0.49,0.51,-531.6237,0.6988,1.8229,3.4391,2.9486,0.074875,0.152807,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.2851,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
3c10ad86,2026-05-18T16:02:20.485284,42,w_o_semantic_prior,action_prior,500,0.666,0.334,6789.9177,0.6107,1.4942,2.7231,2.3549,0.046253,0.069449,0.5272,0.1326,0.0356,0.0612,0.0,1.0,0.2644,59.1291,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.666,0.0,0.0,3,real_data_ablation_ppo_eval_20260518_160217,real_data_ablation_evaluation
