run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
75d56bec,2026-05-18T15:13:14.217270,42,full_model,action_prior,500,0.662,0.338,6756.7072,0.6107,1.4941,2.7323,2.3548,0.046273,0.069899,0.5271,0.1326,0.0358,0.0612,0.0,1.0,0.2643,58.7296,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
fa1b82ce,2026-05-18T15:13:27.572467,43,full_model,action_prior,500,0.662,0.338,6756.6279,0.6107,1.4941,2.7237,2.3537,0.046273,0.069898,0.5268,0.1327,0.0358,0.0612,0.0,1.0,0.2472,58.7293,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
192b2766,2026-05-18T15:13:41.167777,44,full_model,action_prior,500,0.662,0.338,6756.3915,0.6108,1.4938,2.7334,2.3533,0.0463,0.069939,0.5266,0.1327,0.0359,0.0612,0.0,1.0,0.2264,58.731,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
447f35d6,2026-05-18T15:13:51.005073,42,w_o_semantics,action_prior,500,0.662,0.338,7015.513,0.6107,1.4944,2.7295,2.3532,0.046242,0.069851,0.5266,0.1327,0.0358,0.0612,0.0,1.0,0.1921,58.728,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
2b5a5cfe,2026-05-18T15:14:00.700603,43,w_o_semantics,action_prior,500,0.662,0.338,7015.0793,0.6108,1.4933,2.7249,2.3542,0.046322,0.069973,0.527,0.1327,0.0359,0.0612,0.0,1.0,0.1817,58.7335,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
50918850,2026-05-18T15:14:10.736860,44,w_o_semantics,action_prior,500,0.662,0.338,7015.4955,0.6107,1.4935,2.7242,2.3532,0.046235,0.069842,0.5267,0.1327,0.0357,0.0612,0.0,1.0,0.2396,58.7324,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
9f30053b,2026-05-18T15:14:24.501856,42,w_o_reward_shaping,action_prior,500,0.664,0.336,-462.7027,0.6108,1.4937,2.7333,2.3554,0.04629,0.069714,0.5273,0.1326,0.0358,0.0612,0.0,1.0,0.2503,58.9315,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
9a09bacc,2026-05-18T15:14:38.101817,43,w_o_reward_shaping,action_prior,500,0.18,0.82,-654.839,0.8707,1.4477,2.1395,1.9081,0.017836,0.09909,0.3953,0.1167,0.8473,0.2527,0.0,0.1,0.2648,10.7617,2,0.1814,0.2033,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0889,5,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
6a92f448,2026-05-18T15:14:52.047746,44,w_o_reward_shaping,action_prior,500,0.49,0.51,-531.6196,0.6988,1.8229,3.4391,2.9486,0.074828,0.15271,0.6675,0.0861,0.0838,0.0612,0.0,1.0,0.2524,39.8854,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,2,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
9b8e67be,2026-05-18T15:15:05.737822,42,w_o_semantic_prior,action_prior,500,0.662,0.338,6756.5784,0.6108,1.4941,2.7292,2.3555,0.046303,0.069945,0.5274,0.1326,0.0358,0.0612,0.0,1.0,0.2725,58.7297,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
6f40b0be,2026-05-18T15:15:19.400055,43,w_o_semantic_prior,action_prior,500,0.664,0.336,6774.9025,0.6107,1.4936,2.7229,2.3558,0.04627,0.069684,0.5274,0.1326,0.0357,0.0612,0.0,1.0,0.2831,58.9322,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
771cd42e,2026-05-18T15:15:33.084450,44,w_o_semantic_prior,action_prior,500,0.664,0.336,6775.1264,0.6106,1.4935,2.732,2.3554,0.046228,0.06962,0.5273,0.1326,0.0356,0.0612,0.0,1.0,0.2514,58.9323,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
142f7ea2,2026-05-18T15:15:47.134261,42,w_o_confidence,action_prior,500,0.664,0.336,7030.3337,0.6107,1.4934,2.7335,2.3532,0.046254,0.06966,0.5266,0.1327,0.0358,0.0612,0.0,1.0,0.2651,58.9329,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
2a88d72c,2026-05-18T15:16:00.783508,43,w_o_confidence,action_prior,500,0.662,0.338,7015.3509,0.6107,1.4941,2.7276,2.354,0.046266,0.069888,0.5269,0.1326,0.0357,0.0612,0.0,1.0,0.2571,58.7296,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
bbf89a19,2026-05-18T15:16:14.451167,44,w_o_confidence,action_prior,500,0.662,0.338,7014.9582,0.6108,1.4942,2.7224,2.3547,0.046324,0.069975,0.5271,0.1326,0.0358,0.0612,0.0,1.0,0.2592,58.729,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
bbc2b117,2026-05-18T15:16:28.270764,42,w_o_partial_offloading,action_prior,500,0.242,0.758,3042.2031,0.7843,1.9451,3.6013,3.1034,0.017693,0.073112,0.6984,0.0614,0.1978,0.0793,0.0,0.0,0.2461,14.4745,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.242,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
79909793,2026-05-18T15:16:42.450586,43,w_o_partial_offloading,action_prior,500,0.24,0.76,3027.3994,0.7842,1.9453,3.593,3.1034,0.017651,0.073544,0.6982,0.0614,0.1977,0.0793,0.0,0.0,0.2711,14.2734,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,2,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
a21de838,2026-05-18T15:16:56.515446,44,w_o_partial_offloading,action_prior,500,0.24,0.76,3026.803,0.7845,1.9457,3.5899,3.1047,0.017759,0.073995,0.6987,0.0614,0.198,0.0793,0.0,0.0,0.2626,14.2713,1,-0.0,0.1667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,2,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
60cf4720,2026-05-18T15:17:10.550305,42,w_o_battery_awareness,action_prior,500,0.662,0.338,6756.6261,0.6108,1.4935,2.7233,2.3545,0.04629,0.069925,0.5271,0.1327,0.0359,0.0612,0.0,1.0,0.2539,58.7323,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.0,3,real_data_ablation_ppo_retrain_20260518_151300,real_data_ablation_retraining
