task_id,action,action_name,success,delay_s,energy_j,deadline_window_s,deadline_tightness,cpu_cycles,data_size_kb,priority,queue_delay_s
750,0,local,False,1.504520105,0.15045201049999998,0.6792369494796731,2.2150151079862956,1504520105,1755,3,0.0
750,1,edge_25,False,1.15839007875,0.1177083591920248,0.6792369494796731,1.7054285395359905,1504520105,1755,3,0.0
750,2,edge_50,False,0.7822600525000001,0.08455797653020924,0.6792369494796731,1.1516747625394164,1504520105,1755,3,0.0
750,3,edge_75,True,0.6232550061905294,0.05214298603276467,0.6792369494796731,0.9175811278641005,1504520105,1755,3,0.0
750,4,edge_100,False,0.8014371392626036,0.019338543381301795,0.6792369494796731,1.1799080422178763,1504520105,1755,3,0.0
750,5,cloud,False,0.6880499664624394,0.01857297273121971,0.6792369494796731,1.0129748786333217,1504520105,1755,3,0.0
751,0,local,False,1.324775619,0.13247756189999998,0.8463949420838617,1.5651979390830761,1324775619,2893,3,0.0
751,1,edge_25,False,1.0235817142499999,0.10676965590759374,0.8463949420838617,1.2093429005257246,1324775619,2893,3,0.0
751,2,edge_50,True,0.6923878095,0.08110806759861298,0.8463949420838617,0.8180434157549555,1324775619,2893,3,0.0
751,3,edge_75,True,0.5717537800605144,0.05560085194275716,0.8463949420838617,0.6755165368224334,1324775619,2893,3,0.0
751,4,edge_100,True,0.7325586014341325,0.029835395967066275,0.8463949420838617,0.8655044648902803,1324775619,2893,3,0.0
751,5,cloud,True,0.6747044757179086,0.02987467595895431,0.8463949420838617,0.7971508833178473,1324775619,2893,3,0.0
752,0,local,True,0.04,0.003999999999999999,0.11999999999534339,0.33333333334626836,40000000,106,0,0.0
752,1,edge_25,True,0.041736704,0.0033589089444174356,0.11999999999534339,0.34780586668016333,40000000,106,0,0.0
752,2,edge_50,True,0.031736704000000004,0.002684907431472711,0.11999999999534339,0.26447253334359627,40000000,106,0,0.0
752,3,edge_75,True,0.028843310322561346,0.0020533031612806722,0.11999999999534339,0.2403609193640051,40000000,106,0,0.0
752,4,edge_100,True,0.026929525628913823,0.0014108396144569112,0.11999999999534339,0.22441271358299023,40000000,106,0,0.0
