run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_deadline_miss_ratio,metric_avg_reward,metric_avg_latency,metric_p95_latency,metric_p99_latency,metric_cvar95_latency,metric_avg_energy,metric_energy_per_success,metric_jitter,metric_avg_deadline_slack,metric_avg_deadline_overrun,metric_avg_queue_delay,metric_battery_depletion_rate,metric_partial_offload_ratio,metric_decision_overhead_ms,metric_qoe,metric_unique_actions,metric_action_entropy,metric_action_jain_fairness,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_action_0_success_rate,metric_action_1_success_rate,metric_action_2_success_rate,metric_action_3_success_rate,metric_action_4_success_rate,metric_action_5_success_rate,metric_dominant_action,config_batch_id,config_eval_group
6508be82,2026-05-18T15:11:58.406508,42,LocalOnly,action_prior,500,0.21,0.79,1582.3333,1.3195,3.558,6.8182,5.8289,0.131947,0.628321,1.3467,0.0141,0.7846,0.0,0.0,0.0,0.0006,3.2098,1,-0.0,0.1667,1.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
cca32420,2026-05-18T15:11:58.496019,42,EdgeOnly,action_prior,500,0.24,0.76,3175.2537,0.7844,1.947,3.5982,3.1056,0.017745,0.073936,0.6989,0.0613,0.1978,0.0793,0.0,0.0,0.0004,14.2652,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
027ecc01,2026-05-18T15:11:58.592178,42,CloudOnly,action_prior,500,0.08,0.92,-1634.0436,0.9519,1.4626,2.1583,1.9363,0.017793,0.222415,0.3066,0.1088,1.3458,0.3024,0.0,0.0,0.0005,0.6868,1,-0.0,0.1667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,5,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
f2b71e8f,2026-05-18T15:11:58.696137,42,Random,action_prior,500,0.346,0.654,3159.9339,0.8984,2.7597,5.1609,4.3818,0.068848,0.198982,1.0108,0.0644,0.3824,0.0508,0.0,0.516,0.0014,20.8016,6,0.9973,0.9906,0.156,0.182,0.15,0.184,0.146,0.182,0.2179,0.1538,0.4667,0.6848,0.3562,0.1978,3,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
27363f3c,2026-05-18T15:11:58.804777,42,GreedyLatency,action_prior,500,0.762,0.238,7515.582,0.5521,1.2328,1.982,1.7252,0.035496,0.046582,0.404,0.1825,0.0217,0.0443,0.0,0.69,0.0218,70.036,5,0.5253,0.3324,0.18,0.0,0.016,0.674,0.01,0.12,1.0,0.0,0.625,0.6884,1.0,0.8167,3,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
72e02274,2026-05-18T15:11:58.915504,42,DeadlineAwareGreedy,action_prior,500,0.766,0.234,7536.2807,0.5523,1.2362,1.9872,1.7329,0.035362,0.046165,0.4053,0.1821,0.0213,0.044,0.0,0.68,0.024,70.4189,5,0.5292,0.3375,0.186,0.0,0.014,0.666,0.01,0.124,1.0,0.0,0.5714,0.6877,1.0,0.8387,3,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
683d6115,2026-05-18T15:11:59.135183,42,GeneticAlgorithm,action_prior,500,0.754,0.246,7360.2984,0.5563,1.2341,1.9818,1.7423,0.035829,0.047518,0.4064,0.1798,0.0246,0.0451,0.0,0.684,0.2298,69.2297,5,0.5804,0.36,0.172,0.0,0.04,0.644,0.014,0.13,1.0,0.0,0.35,0.6925,1.0,0.8308,3,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
1aa8e48b,2026-05-18T15:11:59.417708,42,PPO,action_prior,500,0.664,0.336,7033.6657,0.6106,1.494,2.7228,2.354,0.046231,0.069625,0.5268,0.1327,0.0357,0.0612,0.0,1.0,0.2524,58.9299,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
1d4a1449,2026-05-18T15:11:59.622022,42,DQN,action_prior,500,0.24,0.76,3175.6003,0.7843,1.9445,3.5967,3.1043,0.01768,0.073668,0.6986,0.0614,0.1978,0.0793,0.0,0.0,0.1342,14.2775,1,-0.0,0.1667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,4,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
79213583,2026-05-18T15:11:59.884559,42,A2C,action_prior,500,0.664,0.336,7033.7785,0.6106,1.4933,2.7311,2.3532,0.046213,0.069598,0.5266,0.1327,0.0357,0.0612,0.0,1.0,0.2316,58.9335,1,-0.0,0.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.664,0.0,0.0,3,real_data_policy_eval_20260518_151158,real_data_policy_evaluation
