run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
161003b7,2026-05-10T17:55:07.506540,42,full_model,action_prior,500,0.678,1295.88,3.6576,0.1355,49.51,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
96f45f71,2026-05-10T17:57:42.891706,43,full_model,action_prior,500,0.626,1161.11,3.7103,0.1391,44.05,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
62d87704,2026-05-10T17:59:00.235576,44,full_model,action_prior,500,0.654,1267.47,3.6823,0.1394,46.99,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
039fec7d,2026-05-10T18:01:07.991576,42,w_o_semantics,action_prior,500,0.678,1297.45,3.6576,0.1355,49.51,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
dd1aaa56,2026-05-10T18:02:55.732338,43,w_o_semantics,action_prior,500,0.626,1159.12,3.7103,0.1391,44.05,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
d5c724ec,2026-05-10T18:04:07.910482,44,w_o_semantics,action_prior,500,0.654,1268.58,3.6823,0.1394,46.99,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
124c7b7e,2026-05-10T18:06:44.768009,42,w_o_reward_shaping,action_prior,500,0.818,-1076.81,2.3047,0.0131,70.28,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
5919b3b8,2026-05-10T18:08:19.992386,43,w_o_reward_shaping,action_prior,500,0.762,-1092.23,2.3389,0.0152,64.51,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
2fe7eeb2,2026-05-10T18:11:26.944564,44,w_o_reward_shaping,action_prior,500,0.774,-1092.87,2.3209,0.0156,65.8,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
86005250,2026-05-10T18:13:17.263645,42,w_o_semantic_prior,action_prior,500,0.678,1295.88,3.6576,0.1355,49.51,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
6085a51a,2026-05-10T18:15:59.313960,43,w_o_semantic_prior,action_prior,500,0.626,1161.11,3.7103,0.1391,44.05,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
2149820b,2026-05-10T18:17:47.192464,44,w_o_semantic_prior,action_prior,500,0.654,1267.47,3.6823,0.1394,46.99,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
438d3a73,2026-05-10T18:20:27.170865,42,w_o_confidence,action_prior,500,0.678,1297.45,3.6576,0.1355,49.51,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
cb162468,2026-05-10T18:23:11.650640,43,w_o_confidence,action_prior,500,0.626,1159.12,3.7103,0.1391,44.05,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
1cb49f63,2026-05-10T18:24:58.933257,44,w_o_confidence,action_prior,500,0.654,1268.58,3.6823,0.1394,46.99,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
708d6916,2026-05-10T18:27:43.033814,42,w_o_partial_offloading,action_prior,500,0.818,580.34,2.2837,0.0131,70.38,2,0.0,0.0,0.0,0.142,0.858,0.0,4,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
295bcaf7,2026-05-10T18:29:41.198775,43,w_o_partial_offloading,action_prior,500,0.762,-32.58,2.3389,0.0152,64.51,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_ablation_a2c_retrain_20260510_175130,synthetic_ablation_retraining
