run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
a98c4075,2026-05-10T17:50:18.812097,42,full_model,action_prior,1250,0.7056,243.11,3.6259,0.0805,52.43,2,0.0,0.0,0.0,0.328,0.0,0.672,5,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
156997da,2026-05-10T17:50:21.092534,43,full_model,action_prior,1250,0.6512,1336.41,3.6665,0.1358,46.79,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
b4081f62,2026-05-10T17:50:22.979938,44,full_model,action_prior,1250,0.7336,216.52,3.5574,0.062,55.57,2,0.0,0.0,0.0,0.24,0.0,0.76,5,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
30ab3eca,2026-05-10T17:50:24.230756,42,w_o_semantics,action_prior,1250,0.6848,76.88,3.6303,0.0927,50.33,2,0.0,0.0,0.0,0.3984,0.0,0.6016,5,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
466a55d9,2026-05-10T17:50:25.622678,43,w_o_semantics,action_prior,1250,0.6512,1345.61,3.6665,0.1358,46.79,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
decd12b6,2026-05-10T17:50:26.594194,44,w_o_semantics,action_prior,1250,0.7232,22.45,3.5757,0.0741,54.44,2,0.0,0.0,0.0,0.304,0.0,0.696,5,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
fbd55d17,2026-05-10T17:50:28.763906,42,w_o_reward_shaping,action_prior,1250,0.7056,-1331.35,3.6259,0.0805,52.43,2,0.0,0.0,0.0,0.328,0.0,0.672,5,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
75b21131,2026-05-10T17:50:30.844559,43,w_o_reward_shaping,action_prior,1250,0.6512,-1538.7,3.6665,0.1358,46.79,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
a8be8045,2026-05-10T17:50:32.887812,44,w_o_reward_shaping,action_prior,1250,0.7336,-1248.79,3.5574,0.062,55.57,2,0.0,0.0,0.0,0.24,0.0,0.76,5,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
ec3113bb,2026-05-10T17:50:35.094044,42,w_o_semantic_prior,action_prior,1250,0.6848,185.19,3.6303,0.0927,50.33,2,0.0,0.0,0.0,0.3984,0.0,0.6016,5,synthetic_ablation_dqn_eval_20260510_175016,synthetic_ablation_evaluation
