run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
46d99293,2026-04-02T15:59:28.314091,42,full_model,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
8d5dcf1b,2026-04-02T16:00:01.339857,43,full_model,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
0cb1a537,2026-04-02T16:00:34.389961,44,full_model,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
c792eae4,2026-04-02T16:00:52.675907,42,w_o_semantics,action_prior,500,0.838,1679.93,1.9589,0.0124,74.01,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
1fe296dc,2026-04-02T16:01:11.267245,43,w_o_semantics,action_prior,500,0.848,1653.88,1.9892,0.0166,74.85,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
6d0386cc,2026-04-02T16:01:29.660160,44,w_o_semantics,action_prior,500,0.862,1638.78,2.0301,0.017,76.05,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
388b1937,2026-04-02T16:02:02.791236,42,w_o_reward_shaping,action_prior,500,0.838,-56.14,1.9589,0.0124,74.01,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
473c30d8,2026-04-02T16:02:35.743903,43,w_o_reward_shaping,action_prior,500,0.848,-57.39,1.9892,0.0166,74.85,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
5a488e26,2026-04-02T16:03:08.820764,44,w_o_reward_shaping,action_prior,500,0.862,-58.42,2.0301,0.017,76.05,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
105272ce,2026-04-02T16:03:42.317998,42,w_o_semantic_prior,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
c63036a7,2026-04-02T16:04:15.210707,43,w_o_semantic_prior,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
79a68142,2026-04-02T16:04:47.857020,44,w_o_semantic_prior,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
390ac4e0,2026-04-02T16:05:20.950517,42,w_o_confidence,action_prior,500,0.838,1640.23,1.9589,0.0124,74.01,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
fdf7ec00,2026-04-02T16:05:54.259689,43,w_o_confidence,action_prior,500,0.848,1613.7,1.9892,0.0166,74.85,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
df88246c,2026-04-02T16:06:27.634609,44,w_o_confidence,action_prior,500,0.862,1615.22,2.0301,0.017,76.05,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
97000b9c,2026-04-02T16:07:00.778554,42,w_o_partial_offloading,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
29d30036,2026-04-02T16:07:33.930671,43,w_o_partial_offloading,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
fa5d1a70,2026-04-02T16:08:07.163379,44,w_o_partial_offloading,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
452a78b6,2026-04-02T16:08:40.256779,42,w_o_battery_awareness,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
d0e4146f,2026-04-02T16:09:13.557422,43,w_o_battery_awareness,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
d348b5b8,2026-04-02T16:09:46.645242,44,w_o_battery_awareness,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
7e5ad098,2026-04-02T16:10:19.689580,42,w_o_queue_awareness,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
944185a4,2026-04-02T16:10:53.193038,43,w_o_queue_awareness,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
e9069492,2026-04-02T16:11:26.402188,44,w_o_queue_awareness,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
2e68f50a,2026-04-02T16:11:59.071821,42,w_o_mobility_features,action_prior,500,0.736,578.93,2.6688,0.2582,60.26,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
9df3a99f,2026-04-02T16:12:31.859206,43,w_o_mobility_features,action_prior,500,0.76,530.65,2.5749,0.2596,63.13,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
6c197e00,2026-04-02T16:13:04.866200,44,w_o_mobility_features,action_prior,500,0.762,677.4,2.6126,0.2568,63.14,synthetic_ablation_dqn_retrain_20260402_155854,synthetic_ablation_retraining,,,,,,,,
9c1fcb1b,2026-04-02T17:49:53.517757,42,full_model,action_prior,500,0.638,679.78,3.6159,0.1476,45.72,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
06bc0c58,2026-04-02T17:50:26.927988,43,full_model,action_prior,500,0.638,784.4,3.6109,0.1404,45.75,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
63f10e65,2026-04-02T17:50:59.648963,44,full_model,action_prior,500,0.66,835.45,3.6043,0.1408,47.98,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
b2832ab4,2026-04-02T17:51:19.493998,42,w_o_semantics,action_prior,500,0.638,1333.02,3.6159,0.1476,45.72,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
29868fd3,2026-04-02T17:51:38.742478,43,w_o_semantics,action_prior,500,0.638,1456.83,3.6109,0.1404,45.75,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
fe1a56a2,2026-04-02T17:51:57.992094,44,w_o_semantics,action_prior,500,0.66,1499.2,3.6043,0.1408,47.98,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
57805fc7,2026-04-02T17:52:31.320866,42,w_o_reward_shaping,action_prior,500,0.644,-105.95,3.5948,0.139,46.43,2,0.0,0.0,0.0,0.926,0.0,0.074,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
6da11619,2026-04-02T17:53:05.015242,43,w_o_reward_shaping,action_prior,500,0.694,-90.92,2.8727,0.0677,55.04,2,0.0,0.0,0.0,0.594,0.0,0.406,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
9267ec7c,2026-04-02T17:53:38.106864,44,w_o_reward_shaping,action_prior,500,0.696,-92.89,2.8835,0.0872,55.18,2,0.0,0.0,0.0,0.724,0.0,0.276,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
1ef7c0a1,2026-04-02T17:54:10.902985,42,w_o_semantic_prior,action_prior,500,0.638,679.78,3.6159,0.1476,45.72,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_dqn_retrain_20260402_174919,synthetic_ablation_retraining
