run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
d006623d,2026-05-10T15:59:41.989795,42,full_model,action_prior,500,0.688,1440.65,3.6373,0.1324,50.61,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
de2e770f,2026-05-10T16:00:55.272809,43,full_model,action_prior,500,0.66,1249.26,3.6185,0.1417,47.91,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
753fb55f,2026-05-10T16:03:37.276590,44,full_model,action_prior,500,0.616,1089.34,3.7013,0.1422,43.09,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
18a9e3c0,2026-05-10T16:04:35.912706,42,w_o_semantics,action_prior,500,0.688,1445.86,3.6373,0.1324,50.61,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
48316590,2026-05-10T16:05:32.468659,43,w_o_semantics,action_prior,500,0.66,1254.32,3.6185,0.1417,47.91,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
460e51a7,2026-05-10T16:07:25.220056,44,w_o_semantics,action_prior,500,0.616,1120.57,3.7013,0.1422,43.09,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
35eca7d8,2026-05-10T16:08:55.410449,42,w_o_reward_shaping,action_prior,500,0.804,-1063.16,2.2989,0.0115,68.91,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
a8e2c07c,2026-05-10T16:11:02.078948,43,w_o_reward_shaping,action_prior,500,0.796,-1098.85,2.2959,0.0184,68.12,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
843402ac,2026-05-10T16:12:29.231249,44,w_o_reward_shaping,action_prior,500,0.76,-1111.09,2.3385,0.0152,64.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
4313d04e,2026-05-10T16:13:27.065726,42,w_o_semantic_prior,action_prior,500,0.688,1440.65,3.6373,0.1324,50.61,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
3598919f,2026-05-10T16:15:25.664647,43,w_o_semantic_prior,action_prior,500,0.66,1249.26,3.6185,0.1417,47.91,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
2a37c6a6,2026-05-10T16:16:55.123684,44,w_o_semantic_prior,action_prior,500,0.616,1089.34,3.7013,0.1422,43.09,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
9f3a2185,2026-05-10T16:18:04.026104,42,w_o_confidence,action_prior,500,0.688,1445.86,3.6373,0.1324,50.61,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
79a17c24,2026-05-10T16:20:19.287645,43,w_o_confidence,action_prior,500,0.66,1254.32,3.6185,0.1417,47.91,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_ablation_ppo_retrain_20260510_155751,synthetic_ablation_retraining
