run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
47a6f7bb,2026-05-10T15:56:54.678390,42,LocalOnly,action_prior,500,0.28,-5378.45,9.3833,0.5068,-18.92,1,1.0,0.0,0.0,0.0,0.0,0.0,0,policy_eval_20260510_155654,synthetic_policy_evaluation
56653256,2026-05-10T15:56:55.028204,42,EdgeOnly,action_prior,500,0.51,-348.37,4.8665,0.0144,26.67,1,0.0,0.0,0.0,0.0,1.0,0.0,4,policy_eval_20260510_155654,synthetic_policy_evaluation
5358b849,2026-05-10T15:56:55.524629,42,CloudOnly,action_prior,500,0.796,105.05,2.3125,0.0144,68.04,1,0.0,0.0,0.0,0.0,0.0,1.0,5,policy_eval_20260510_155654,synthetic_policy_evaluation
dcd13d20,2026-05-10T15:56:56.122729,42,Random,action_prior,500,0.554,-928.97,6.6546,0.1911,22.13,6,0.148,0.15,0.164,0.138,0.188,0.212,5,policy_eval_20260510_155654,synthetic_policy_evaluation
d6ab42d5,2026-05-10T15:56:56.637196,42,GreedyLatency,action_prior,500,0.796,182.33,2.3073,0.0144,68.06,3,0.01,0.0,0.0,0.0,0.014,0.976,5,policy_eval_20260510_155654,synthetic_policy_evaluation
1311b869,2026-05-10T15:56:57.306389,42,GeneticAlgorithm,action_prior,500,0.786,288.39,2.3063,0.0165,67.07,4,0.0,0.008,0.028,0.048,0.0,0.916,5,policy_eval_20260510_155654,synthetic_policy_evaluation
2b23e59b,2026-05-10T15:56:59.564262,42,PPO,action_prior,500,0.646,1277.01,3.6597,0.1375,46.3,1,0.0,0.0,0.0,1.0,0.0,0.0,3,policy_eval_20260510_155654,synthetic_policy_evaluation
9ee94a5c,2026-05-10T15:57:01.183609,42,DQN,action_prior,500,0.722,292.72,3.6138,0.0752,54.13,2,0.0,0.0,0.0,0.3,0.0,0.7,5,policy_eval_20260510_155654,synthetic_policy_evaluation
0251bc9f,2026-05-10T15:57:04.669930,42,A2C,action_prior,500,0.646,1277.01,3.6597,0.1375,46.3,1,0.0,0.0,0.0,1.0,0.0,0.0,3,policy_eval_20260510_155654,synthetic_policy_evaluation
6adefd14,2026-05-10T15:57:05.261878,43,LocalOnly,action_prior,500,0.262,-5271.16,9.3375,0.4965,-20.49,1,1.0,0.0,0.0,0.0,0.0,0.0,0,policy_eval_20260510_155654,synthetic_policy_evaluation
7ba39fd7,2026-05-10T15:57:05.871812,43,EdgeOnly,action_prior,500,0.504,-278.17,4.8415,0.0117,26.19,1,0.0,0.0,0.0,0.0,1.0,0.0,4,policy_eval_20260510_155654,synthetic_policy_evaluation
ec48ffea,2026-05-10T15:57:06.444911,43,CloudOnly,action_prior,500,0.78,62.19,2.3102,0.0117,66.45,1,0.0,0.0,0.0,0.0,0.0,1.0,5,policy_eval_20260510_155654,synthetic_policy_evaluation
f42a9a12,2026-05-10T15:57:06.928188,43,Random,action_prior,500,0.536,-1285.73,7.029,0.232,18.45,6,0.164,0.148,0.198,0.186,0.152,0.152,2,policy_eval_20260510_155654,synthetic_policy_evaluation
ed220e93,2026-05-10T15:57:07.400403,43,GreedyLatency,action_prior,500,0.782,150.7,2.303,0.0117,66.68,3,0.002,0.0,0.0,0.0,0.02,0.978,5,policy_eval_20260510_155654,synthetic_policy_evaluation
34fee879,2026-05-10T15:57:08.235775,43,GeneticAlgorithm,action_prior,500,0.772,390.17,2.3661,0.0196,65.37,4,0.0,0.004,0.044,0.066,0.0,0.886,5,policy_eval_20260510_155654,synthetic_policy_evaluation
