episode,success_rate,avg_delay,avg_energy,timestamp
0,96.0,0.4637870848636442,0.040777105969743585,2026-04-08T11:12:18.044768
1,100.0,0.3734488046789087,0.03261591349313699,2026-04-08T11:12:18.202226
2,100.0,0.3721711477351574,0.03302941774430626,2026-04-08T11:12:18.410661
3,100.0,0.3496109058965978,0.029756384561770814,2026-04-08T11:12:18.568526
4,98.0,0.33808651188904926,0.029843042077632536,2026-04-08T11:12:18.722448
5,96.0,0.41810183380331667,0.03538799295250077,2026-04-08T11:12:18.860824
6,100.0,0.49503372071010376,0.04683982308924597,2026-04-08T11:12:19.028784
7,98.0,0.3950145730602816,0.030164989171329874,2026-04-08T11:12:19.227407
8,98.0,0.32652463280901456,0.027118736363283328,2026-04-08T11:12:19.373464
9,96.0,0.39100279790931836,0.03521486432275275,2026-04-08T11:12:19.550080
10,98.0,0.3721093125758857,0.030110299439471844,2026-04-08T11:12:19.707945
11,98.0,0.3471227175738829,0.032466685166379766,2026-04-08T11:12:19.858225
12,98.0,0.41919197499132715,0.03712070441293154,2026-04-08T11:12:20.015786
13,98.0,0.3478539348095623,0.030039959532348427,2026-04-08T11:12:20.170025
14,96.0,0.4265431056332298,0.04046960461153784,2026-04-08T11:12:20.367220
15,100.0,0.31032550627115685,0.02475586541267004,2026-04-08T11:12:20.527164
16,100.0,0.341801981444708,0.02618193102945492,2026-04-08T11:12:20.678436
17,100.0,0.3604028484989541,0.02886456023532054,2026-04-08T11:12:20.888343
18,98.0,0.3625273014460319,0.0298798569294239,2026-04-08T11:12:21.034632
19,98.0,0.41068998756606234,0.03129455017860129,2026-04-08T11:12:21.175069
20,98.0,0.3473436464037594,0.03798389666368354,2026-04-08T11:12:21.352479
21,98.0,0.31887651574789316,0.023911474929408108,2026-04-08T11:12:21.577290
22,100.0,0.35704682930128867,0.027326326584765585,2026-04-08T11:12:21.754491
23,100.0,0.3394594288098186,0.03190892535689609,2026-04-08T11:12:21.908581
24,96.0,0.38446481044071235,0.03248493008433342,2026-04-08T11:12:22.115940
25,98.0,0.3653855253218946,0.03520525926117608,2026-04-08T11:12:22.278042
26,100.0,0.36387570031000926,0.03685467816479068,2026-04-08T11:12:22.436462
27,98.0,0.41637656894327035,0.032678017067513526,2026-04-08T11:12:22.608026
28,96.0,0.39141186116309173,0.03173000863451999,2026-04-08T11:12:22.759712
29,100.0,0.4281005339995217,0.039453732257679355,2026-04-08T11:12:22.924746
30,98.0,0.34866652474233584,0.0294341910786426,2026-04-08T11:12:23.082481
31,100.0,0.36198451003398496,0.03471904831917972,2026-04-08T11:12:23.267428
32,96.0,0.35432461815961797,0.03130623599341449,2026-04-08T11:12:23.436827
33,98.0,0.3605928470041706,0.03278369244330219,2026-04-08T11:12:23.615463
34,98.0,0.3337234729393704,0.032230316134171634,2026-04-08T11:12:23.828622
35,100.0,0.3810652282279554,0.031981465912861225,2026-04-08T11:12:23.983595
36,98.0,0.4596768073667848,0.038255965131301084,2026-04-08T11:12:24.100641
37,100.0,0.39116844273130935,0.031128012769422966,2026-04-08T11:12:24.255703
38,98.0,0.3800537647126393,0.031778161210006345,2026-04-08T11:12:24.422123
39,98.0,0.3911281344839928,0.035511011979788815,2026-04-08T11:12:24.578470
40,100.0,0.34841508291638557,0.028973762093702927,2026-04-08T11:12:27.750418
41,98.0,0.37481534218834744,0.03195998306324508,2026-04-08T11:12:27.930686
42,100.0,0.31121832514744896,0.02832871614595548,2026-04-08T11:12:28.144695
43,100.0,0.3703983519111118,0.03142934887559286,2026-04-08T11:12:28.278780
44,100.0,0.34863932697102146,0.025903748852187828,2026-04-08T11:12:28.433268
45,100.0,0.3592669318860197,0.0339122037511578,2026-04-08T11:12:28.615622
46,100.0,0.376234070230115,0.028898409167380436,2026-04-08T11:12:28.811343
47,98.0,0.331889064837585,0.031124649441338796,2026-04-08T11:12:28.975014
48,96.0,0.43981597080470514,0.0390853174432277,2026-04-08T11:12:29.140966
49,98.0,0.372483477896109,0.028001138274270976,2026-04-08T11:12:29.326172
50,100.0,0.3321266340247772,0.026872550142107387,2026-04-08T11:12:29.481905
51,100.0,0.3635847390985238,0.029316693932018068,2026-04-08T11:12:29.636131
52,94.0,0.4294831946040826,0.03812935666680685,2026-04-08T11:12:29.840851
53,100.0,0.3113056654571839,0.02884584417840685,2026-04-08T11:12:29.989203
54,100.0,0.3382149782645202,0.030196388445191184,2026-04-08T11:12:30.208249
55,98.0,0.42748183326135575,0.03987024624577797,2026-04-08T11:12:30.379905
56,100.0,0.35186561252917303,0.02705423445226737,2026-04-08T11:12:30.545960
57,100.0,0.34533696550809284,0.030047389742797415,2026-04-08T11:12:30.734464
58,100.0,0.4401698529714534,0.044192013644416314,2026-04-08T11:12:30.892554
59,96.0,0.3702289774694757,0.03163268864428621,2026-04-08T11:12:31.041400
60,94.0,0.3879279092323038,0.035405227499216874,2026-04-08T11:12:31.243766
61,96.0,0.36876523798043165,0.028928208715682278,2026-04-08T11:12:31.392851
62,100.0,0.349438321770644,0.0341799619547165,2026-04-08T11:12:31.542442
63,100.0,0.3571949515697099,0.03219100803350303,2026-04-08T11:12:31.726186
64,100.0,0.32210505832724495,0.025519612586603745,2026-04-08T11:12:31.899719
65,100.0,0.3246481923270271,0.028733155995628156,2026-04-08T11:12:32.036440
66,98.0,0.32400109466901433,0.026656921202370377,2026-04-08T11:12:32.170941
67,98.0,0.3591362307648657,0.03118553222113399,2026-04-08T11:12:32.380351
68,96.0,0.4002737885108587,0.03564352530086543,2026-04-08T11:12:32.553494
69,100.0,0.32349551938910825,0.02786716080748805,2026-04-08T11:12:32.709494
70,98.0,0.38213245579233013,0.03462055995196815,2026-04-08T11:12:32.901873
71,98.0,0.49328011792317994,0.046860442214392464,2026-04-08T11:12:33.062742
72,100.0,0.35372819448018056,0.032297859019094745,2026-04-08T11:12:33.220783
73,98.0,0.34117700525869843,0.029494619309875614,2026-04-08T11:12:33.422945
74,100.0,0.2917549682797318,0.026462099535709892,2026-04-08T11:12:33.594503
75,98.0,0.36463600008043173,0.031339868345064685,2026-04-08T11:12:33.766807
76,100.0,0.3752377729016754,0.027264351210279494,2026-04-08T11:12:33.983356
77,98.0,0.37856258045097585,0.032173019715257045,2026-04-08T11:12:34.145458
78,100.0,0.36601142629454947,0.03194558964742334,2026-04-08T11:12:34.323685
79,100.0,0.4244713934555343,0.029122389295394277,2026-04-08T11:12:34.531144
80,98.0,0.38868610919207364,0.02776552415349528,2026-04-08T11:12:34.714794
81,100.0,0.3547161331486398,0.029653694903517346,2026-04-08T11:12:37.871633
82,100.0,0.29357459989526086,0.022663423878215024,2026-04-08T11:12:38.086238
83,100.0,0.35214367245620454,0.025762029757580126,2026-04-08T11:12:38.260425
84,98.0,0.35674621483721,0.03291302985087388,2026-04-08T11:12:38.463704
85,100.0,0.38423543216408185,0.038525111317173524,2026-04-08T11:12:38.725624
86,98.0,0.46012817741468637,0.04832586284339428,2026-04-08T11:12:38.912436
87,98.0,0.3425874225507932,0.025424758071630613,2026-04-08T11:12:39.112925
88,98.0,0.34489076463485313,0.028292749240611127,2026-04-08T11:12:39.323327
89,100.0,0.3806895514120776,0.033444474977651815,2026-04-08T11:12:39.505078
90,100.0,0.369223407045421,0.028700203063734508,2026-04-08T11:12:39.693246
91,96.0,0.3550913190881124,0.03487541994672675,2026-04-08T11:12:39.880613
92,96.0,0.3599261863115125,0.029691066328660018,2026-04-08T11:12:40.140942
93,98.0,0.3540992263317409,0.03614725466118722,2026-04-08T11:12:40.320122
94,98.0,0.45138405599137366,0.04319298180054715,2026-04-08T11:12:40.558746
95,100.0,0.30571497830830735,0.02032343593557818,2026-04-08T11:12:40.743880
96,98.0,0.3415130111973854,0.02648719130058033,2026-04-08T11:12:40.892671
97,100.0,0.3664735485651007,0.03325732514809736,2026-04-08T11:12:41.078889
98,100.0,0.40851409804725813,0.03573060166206263,2026-04-08T11:12:41.336684
99,98.0,0.4099539537980844,0.03353954409479766,2026-04-08T11:12:41.515516
100,94.0,0.37085819543111126,0.03590401931422325,2026-04-08T11:12:41.704781
101,98.0,0.34659594756804646,0.031817955994471764,2026-04-08T11:12:41.906667
102,98.0,0.3834218529095066,0.032154469828653234,2026-04-08T11:12:42.077254
103,100.0,0.3318686771937889,0.02824399491660241,2026-04-08T11:12:42.297498
104,98.0,0.41787039209704097,0.04236779964719621,2026-04-08T11:12:42.476263
105,98.0,0.37373966896121225,0.033603333490942675,2026-04-08T11:12:42.646602
106,100.0,0.3613714853996324,0.033230032989677485,2026-04-08T11:12:42.859760
107,94.0,0.4523970803765189,0.03806163068536939,2026-04-08T11:12:43.039209
108,100.0,0.34058584652993973,0.02842188503803309,2026-04-08T11:12:43.220881
109,100.0,0.39702245025710015,0.02971939494281101,2026-04-08T11:12:43.440671
110,100.0,0.39388870284678523,0.033979517979127155,2026-04-08T11:12:43.636149
111,100.0,0.3253982723324211,0.031551823652293184,2026-04-08T11:12:43.821077
112,98.0,0.4042237904828634,0.03467436523087868,2026-04-08T11:12:44.046165
113,98.0,0.3536317549015508,0.031421567102030215,2026-04-08T11:12:44.228617
114,100.0,0.28968522815498754,0.01858523369153815,2026-04-08T11:12:44.418711
115,100.0,0.40097636484256827,0.033786677510878306,2026-04-08T11:12:44.611350
116,98.0,0.5092688178859103,0.044300244857443986,2026-04-08T11:12:44.783874
117,98.0,0.3644402414128551,0.03373075049115987,2026-04-08T11:12:44.966241
118,100.0,0.36125278376362036,0.035369200583365214,2026-04-08T11:12:45.178437
119,98.0,0.35262572799624564,0.030495899662235194,2026-04-08T11:12:45.318816
120,100.0,0.2974176100541159,0.02245585442933645,2026-04-08T11:12:45.489222
121,98.0,0.3579331532852821,0.034899359888431895,2026-04-08T11:12:45.716157
122,98.0,0.33480771048274044,0.02734807919191032,2026-04-08T11:12:48.692331
123,98.0,0.4225017365595595,0.036965382732999236,2026-04-08T11:12:48.880553
124,100.0,0.36636572323953376,0.030797920280142155,2026-04-08T11:12:49.063937
125,100.0,0.34908542205384885,0.026103766912946216,2026-04-08T11:12:49.312782
126,98.0,0.4135203470812273,0.03524184945340854,2026-04-08T11:12:49.501935
127,98.0,0.34743793691019037,0.03108089872115307,2026-04-08T11:12:49.717255
128,96.0,0.4465175284098114,0.0340713708850304,2026-04-08T11:12:49.877637
129,98.0,0.35788318561517235,0.030291549099606407,2026-04-08T11:12:50.059437
130,100.0,0.34888428366892194,0.029934069722888687,2026-04-08T11:12:50.240017
131,100.0,0.3725806332727536,0.031457254519493466,2026-04-08T11:12:50.472107
132,100.0,0.3491472284306091,0.026953278409928113,2026-04-08T11:12:50.649689
133,98.0,0.3437213024740381,0.02994747745288169,2026-04-08T11:12:50.840191
134,96.0,0.38651276964444037,0.03629634901975083,2026-04-08T11:12:51.062755
135,98.0,0.4210393672821192,0.037575998661369785,2026-04-08T11:12:51.240979
136,100.0,0.37762910941466105,0.03366457714010906,2026-04-08T11:12:51.441668
137,98.0,0.36349233103813305,0.02828176463692597,2026-04-08T11:12:51.675563
138,98.0,0.456069441322168,0.039241246583278086,2026-04-08T11:12:51.858471
139,96.0,0.3825307679854271,0.03109617546762264,2026-04-08T11:12:52.061722
140,96.0,0.36825157958346594,0.03307206846503258,2026-04-08T11:12:52.286428
141,96.0,0.39520448143229947,0.03584528148319144,2026-04-08T11:12:52.463216
142,100.0,0.30654248506093523,0.02592879239680062,2026-04-08T11:12:52.646229
143,100.0,0.352377465612805,0.029999127229983612,2026-04-08T11:12:52.867344
144,98.0,0.3230765336365842,0.028627927962450644,2026-04-08T11:12:53.048075
145,100.0,0.35397743326549813,0.030012656553641097,2026-04-08T11:12:53.259858
146,98.0,0.3339880637347275,0.030758685969477922,2026-04-08T11:12:53.434256
147,100.0,0.32356026052879083,0.02987515606361897,2026-04-08T11:12:53.612730
148,98.0,0.3714783277680309,0.03181503610212087,2026-04-08T11:12:53.829157
