run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
28bba0d7,2026-04-02T16:14:28.437299,42,full_model,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
688b44e5,2026-04-02T16:15:12.475867,43,full_model,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
43acf499,2026-04-02T16:15:56.622599,44,full_model,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
1fa4f88b,2026-04-02T16:16:23.821407,42,w_o_semantics,action_prior,500,0.838,1679.93,1.9589,0.0124,74.01,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
2628c235,2026-04-02T16:16:51.793150,43,w_o_semantics,action_prior,500,0.848,1653.88,1.9892,0.0166,74.85,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
a4642321,2026-04-02T16:17:20.005417,44,w_o_semantics,action_prior,500,0.7,1795.29,3.5848,0.141,52.08,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
ff7af8ed,2026-04-02T16:18:04.132681,42,w_o_reward_shaping,action_prior,500,0.838,-56.14,1.9589,0.0124,74.01,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
428902a7,2026-04-02T16:18:48.297718,43,w_o_reward_shaping,action_prior,500,0.848,-57.39,1.9892,0.0166,74.85,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
0b3d65af,2026-04-02T16:19:32.555421,44,w_o_reward_shaping,action_prior,500,0.862,-58.42,2.0301,0.017,76.05,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
96fe8c15,2026-04-02T16:20:17.654852,42,w_o_semantic_prior,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
f1c5aeea,2026-04-02T16:21:01.405291,43,w_o_semantic_prior,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
3092d613,2026-04-02T16:21:44.956651,44,w_o_semantic_prior,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
ebfadd71,2026-04-02T16:22:29.190821,42,w_o_confidence,action_prior,500,0.838,1640.23,1.9589,0.0124,74.01,synthetic_ablation_a2c_retrain_20260402_161343,synthetic_ablation_retraining,,,,,,,,
