run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
f674b7fa,2026-04-02T15:18:12.940212,42,full_model,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
dad339b3,2026-04-02T15:18:13.605960,43,full_model,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
3f8d7588,2026-04-02T15:18:14.312130,44,full_model,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
c43bf0f4,2026-04-02T15:18:14.519221,42,w_o_semantics,action_prior,1250,0.8488,1636.27,2.0113,0.0121,74.82,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
bb17af86,2026-04-02T15:18:14.685864,43,w_o_semantics,action_prior,1250,0.8576,1657.57,1.9905,0.0118,75.81,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
0e9675e8,2026-04-02T15:18:14.857739,44,w_o_semantics,action_prior,1250,0.8592,1666.1,1.9956,0.0146,75.94,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
b6d981cc,2026-04-02T15:18:15.530714,42,w_o_reward_shaping,action_prior,1250,0.8488,-57.84,2.0113,0.0121,74.82,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
24a18cab,2026-04-02T15:18:16.157107,43,w_o_reward_shaping,action_prior,1250,0.8576,-57.61,1.9905,0.0118,75.81,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
4bb3ae32,2026-04-02T15:18:16.784726,44,w_o_reward_shaping,action_prior,1250,0.8592,-57.48,1.9956,0.0146,75.94,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
14c22358,2026-04-02T15:18:17.412040,42,w_o_semantic_prior,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
1030b7bd,2026-04-02T15:18:18.037233,43,w_o_semantic_prior,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
07514bc7,2026-04-02T15:18:18.653704,44,w_o_semantic_prior,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
500107bc,2026-04-02T15:18:19.279338,42,w_o_confidence,action_prior,1250,0.8488,1598.59,2.0113,0.0121,74.82,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
ccd700ff,2026-04-02T15:18:19.940436,43,w_o_confidence,action_prior,1250,0.8576,1634.22,1.9905,0.0118,75.81,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
b205953b,2026-04-02T15:18:20.568598,44,w_o_confidence,action_prior,1250,0.8592,1599.4,1.9956,0.0146,75.94,synthetic_ablation_dqn_eval_20260402_151811,synthetic_ablation_evaluation,,,,,,,,
