run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
0be51402,2026-04-02T15:42:24.489228,42,full_model,action_prior,500,0.876,1803.7,1.9738,0.0142,77.73,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
ea0ce8b9,2026-04-02T15:43:01.512964,43,full_model,action_prior,500,0.856,1712.82,2.0064,0.0148,75.57,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
01250d73,2026-04-02T15:43:39.239452,44,full_model,action_prior,500,0.84,1641.4,2.0234,0.0138,73.88,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
ac5ce8e6,2026-04-02T15:44:03.472477,42,w_o_semantics,action_prior,500,0.866,2107.42,1.9738,0.0227,76.73,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
2b4ead1f,2026-04-02T15:44:27.856690,43,w_o_semantics,action_prior,500,0.856,1688.31,2.0064,0.0148,75.57,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
a55ff997,2026-04-02T15:44:53.527588,44,w_o_semantics,action_prior,500,0.664,1750.49,3.5707,0.1387,48.55,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
3135c8f0,2026-04-02T15:45:31.777798,42,w_o_reward_shaping,action_prior,500,0.876,-56.8,1.9738,0.0142,77.73,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
c75af43a,2026-04-02T15:46:09.585218,43,w_o_reward_shaping,action_prior,500,0.856,-56.71,2.0064,0.0148,75.57,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
576cb8b7,2026-04-02T15:46:48.180083,44,w_o_reward_shaping,action_prior,500,0.84,-58.08,2.0234,0.0138,73.88,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
9657eac2,2026-04-02T15:47:26.290228,42,w_o_semantic_prior,action_prior,500,0.876,1803.7,1.9738,0.0142,77.73,synthetic_ablation_ppo_retrain_20260402_154147,synthetic_ablation_retraining,,,,,,,,
