run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,config_batch_id,config_eval_group
956f8deb,2026-04-02T15:15:45.086695,42,LocalOnly,action_prior,500,0.238,-5624.6,9.3721,0.5255,-23.06,policy_eval_20260402_151544,synthetic_policy_evaluation
a0842509,2026-04-02T15:15:45.661046,42,EdgeOnly,action_prior,500,0.534,-475.71,4.7104,0.0117,29.85,policy_eval_20260402_151544,synthetic_policy_evaluation
18112103,2026-04-02T15:15:46.204600,42,CloudOnly,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,policy_eval_20260402_151544,synthetic_policy_evaluation
40b197de,2026-04-02T15:15:46.740915,42,Random,action_prior,500,0.518,-1046.92,7.2127,0.2245,15.74,policy_eval_20260402_151544,synthetic_policy_evaluation
7b4e4887,2026-04-02T15:15:47.268041,42,GreedyLatency,action_prior,500,0.84,1618.09,1.9987,0.0118,74.01,policy_eval_20260402_151544,synthetic_policy_evaluation
436a3388,2026-04-02T15:15:47.878605,42,GeneticAlgorithm,action_prior,500,0.838,1659.8,2.0498,0.0176,73.55,policy_eval_20260402_151544,synthetic_policy_evaluation
adca4b2d,2026-04-02T15:15:49.486732,42,PPO_v2,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,policy_eval_20260402_151544,synthetic_policy_evaluation
d18c4351,2026-04-02T15:15:50.230609,42,DQN_v2,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,policy_eval_20260402_151544,synthetic_policy_evaluation
8b095df6,2026-04-02T15:15:51.122601,42,A2C_v2,action_prior,500,0.84,1604.37,1.9987,0.0117,74.01,policy_eval_20260402_151544,synthetic_policy_evaluation
a74b3bc4,2026-04-02T15:15:51.686082,43,LocalOnly,action_prior,500,0.242,-5607.5,9.3276,0.5257,-22.44,policy_eval_20260402_151544,synthetic_policy_evaluation
736bd06f,2026-04-02T15:15:52.239726,43,EdgeOnly,action_prior,500,0.534,-479.49,4.6917,0.0116,29.94,policy_eval_20260402_151544,synthetic_policy_evaluation
a7871dc9,2026-04-02T15:15:52.795463,43,CloudOnly,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,policy_eval_20260402_151544,synthetic_policy_evaluation
3c2c5bc9,2026-04-02T15:15:53.431666,43,Random,action_prior,500,0.52,-773.71,6.7906,0.2097,18.05,policy_eval_20260402_151544,synthetic_policy_evaluation
4b9d692f,2026-04-02T15:15:54.010410,43,GreedyLatency,action_prior,500,0.854,1665.13,1.9924,0.0116,75.44,policy_eval_20260402_151544,synthetic_policy_evaluation
c9d3d8fd,2026-04-02T15:15:54.633309,43,GeneticAlgorithm,action_prior,500,0.838,1685.24,2.052,0.0161,73.54,policy_eval_20260402_151544,synthetic_policy_evaluation
b0783d72,2026-04-02T15:15:55.451218,43,PPO_v2,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,policy_eval_20260402_151544,synthetic_policy_evaluation
744cb408,2026-04-02T15:15:56.129850,43,DQN_v2,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,policy_eval_20260402_151544,synthetic_policy_evaluation
60e82fa7,2026-04-02T15:15:56.941427,43,A2C_v2,action_prior,500,0.854,1647.83,1.9924,0.0116,75.44,policy_eval_20260402_151544,synthetic_policy_evaluation
6e71a565,2026-04-02T15:15:57.609184,44,LocalOnly,action_prior,500,0.288,-5001.09,9.3181,0.4959,-17.79,policy_eval_20260402_151544,synthetic_policy_evaluation
e45680a2,2026-04-02T15:15:58.188161,44,EdgeOnly,action_prior,500,0.572,-178.96,4.6859,0.0144,33.77,policy_eval_20260402_151544,synthetic_policy_evaluation
41ee5933,2026-04-02T15:15:58.752222,44,CloudOnly,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,policy_eval_20260402_151544,synthetic_policy_evaluation
adb17e3e,2026-04-02T15:15:59.354793,44,Random,action_prior,500,0.552,-806.03,7.4138,0.2183,18.13,policy_eval_20260402_151544,synthetic_policy_evaluation
6e44d908,2026-04-02T15:15:59.923669,44,GreedyLatency,action_prior,500,0.852,1748.29,1.9916,0.0144,75.24,policy_eval_20260402_151544,synthetic_policy_evaluation
a0b55d46,2026-04-02T15:16:00.556545,44,GeneticAlgorithm,action_prior,500,0.858,1713.94,2.0467,0.0185,75.57,policy_eval_20260402_151544,synthetic_policy_evaluation
09da010c,2026-04-02T15:16:01.360064,44,PPO_v2,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,policy_eval_20260402_151544,synthetic_policy_evaluation
ee5ae05b,2026-04-02T15:16:02.068921,44,DQN_v2,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,policy_eval_20260402_151544,synthetic_policy_evaluation
cf09bbdc,2026-04-02T15:16:02.863311,44,A2C_v2,action_prior,500,0.852,1712.23,1.9916,0.0144,75.24,policy_eval_20260402_151544,synthetic_policy_evaluation
