teacher_policy,split,episode_id,step_id,selected_action_id,selected_action_name,teacher_score,teacher_margin,predicted_delay,predicted_energy,predicted_reward,deadline_met,semantic_target,semantic_match,priority_score,semantic_confidence,state_snr_norm,state_task_size_norm,state_cpu_cycles_norm,state_battery_norm,state_edge_load_norm,state_edge_energy_norm,prior_local,prior_edge_25,prior_edge_50,prior_edge_75,prior_edge_full,prior_cloud
teacher_latency_greedy,train,30,28,4,edge_100,0.710635,-0.114415,0.699836,0.009631,79.828159,1,local,0,0.683203,0.869615,1.0,0.42391,0.133771,0.998479,0.147699,0.998536,0.891346,0.021731,0.021731,0.021731,0.021731,0.021731
teacher_latency_greedy,train,37,33,0,local,0.870008,-0.511342,0.720008,0.072001,87.609047,1,local,1,0.728676,0.594368,1.0,0.196172,0.072001,0.998207,0.043744,0.998484,0.661973,0.067605,0.067605,0.067605,0.067605,0.067605
teacher_latency_greedy,train,36,44,2,edge_50,0.303597,-0.057852,0.207889,0.022514,95.158469,1,cloud,0,0.449114,0.740571,1.0,0.32314,0.035285,0.997622,0.048648,0.999411,0.043238,0.043238,0.043238,0.043238,0.043238,0.783809
teacher_latency_greedy,train,32,36,1,edge_25,0.500545,-0.228639,0.38206,0.037054,114.438627,1,edge,1,0.258155,0.865371,1.0,0.261858,0.04691,0.998053,0.104929,0.99802,0.022438,0.152244,0.238781,0.282049,0.282049,0.022438
teacher_latency_greedy,train,0,18,1,edge_25,2.690433,-1.347357,2.57773,0.255626,21.973608,1,edge,1,0.497652,0.572712,1.0,0.053646,0.340221,0.999021,0.094693,0.999437,0.071215,0.157121,0.214393,0.243028,0.243028,0.071215
teacher_latency_greedy,train,26,5,0,local,1.612258,-1.000154,1.462258,0.146226,73.611957,1,local,1,0.521153,0.821776,1.0,0.013428,0.146226,0.999739,0.040344,0.999995,0.85148,0.029704,0.029704,0.029704,0.029704,0.029704
teacher_latency_greedy,train,10,20,0,local,1.023829,-0.616232,0.873829,0.087383,93.304814,1,local,1,0.320432,0.824753,1.0,0.243947,0.087383,0.998934,0.07313,0.999487,0.853961,0.029208,0.029208,0.029208,0.029208,0.029208
teacher_latency_greedy,train,38,45,1,edge_25,0.302182,-0.136803,0.179669,0.016342,132.533723,1,edge,1,0.838016,0.839069,1.0,0.230454,0.020008,0.997644,0.080764,0.998907,0.026822,0.152682,0.236589,0.278542,0.278542,0.026822
teacher_latency_greedy,train,26,2,1,edge_25,0.313623,-0.15595,0.198899,0.017648,120.931663,1,edge,1,0.316632,0.865981,1.0,0.042109,0.023074,0.999897,0.0,1.0,0.022336,0.152234,0.238832,0.282131,0.282131,0.022336
teacher_latency_greedy,train,6,35,1,edge_25,1.085592,-0.550072,0.971482,0.095607,93.508056,1,edge,1,0.344348,0.819428,1.0,0.195505,0.125676,0.998146,0.122862,0.998779,0.030095,0.15301,0.234952,0.275924,0.275924,0.030095
teacher_latency_greedy,train,40,18,3,edge_75,5.415287,0.0,2.572095,0.175938,-38.159342,0,edge,1,0.987679,0.72543,1.0,0.528508,0.676815,0.999036,0.107869,0.998892,0.045762,0.154576,0.227119,0.263391,0.263391,0.045762
teacher_latency_greedy,train,13,12,1,edge_25,0.478772,-0.240856,0.365357,0.034209,103.974118,1,edge,1,0.373077,0.694182,1.0,0.051324,0.045244,0.999384,0.011271,0.999857,0.05097,0.155097,0.224515,0.259224,0.259224,0.05097
teacher_latency_greedy,train,13,12,1,edge_25,0.478772,-0.240856,0.365357,0.034209,103.974118,1,edge,1,0.373077,0.694182,1.0,0.051324,0.045244,0.999384,0.011271,0.999857,0.05097,0.155097,0.224515,0.259224,0.259224,0.05097
teacher_latency_greedy,train,1,49,1,edge_25,4.354636,-1.524792,2.950147,0.293121,-82.384293,0,local,0,0.953941,0.805578,1.0,0.372665,0.389026,0.997126,0.14592,0.995014,0.837982,0.032404,0.032404,0.032404,0.032404,0.032404
teacher_latency_greedy,train,31,37,1,edge_25,1.198631,-0.603355,1.085927,0.106189,87.178089,1,edge,1,0.120844,0.946606,1.0,0.048067,0.141329,0.99806,0.119568,0.99885,0.008899,0.15089,0.24555,0.292881,0.292881,0.008899
teacher_latency_greedy,train,23,16,3,edge_75,2.139744,0.0,2.097175,0.152908,49.139489,1,edge,1,0.498355,0.590137,1.0,0.764424,0.538791,0.999157,0.099957,0.999705,0.068311,0.156831,0.215845,0.245352,0.245352,0.068311
teacher_latency_greedy,train,14,9,5,cloud,4.143269,1.535175,1.909221,0.007617,-50.062994,0,edge,0,0.52452,0.691433,1.0,0.330105,0.896994,0.9995,0.182951,0.999279,0.051428,0.155143,0.224286,0.258858,0.258858,0.051428
teacher_latency_greedy,train,17,19,3,edge_75,1.645868,0.0,1.604984,0.112549,85.736246,1,edge,1,0.790582,0.942581,1.0,0.642921,0.412932,0.998978,0.049637,0.999102,0.00957,0.150957,0.245215,0.292344,0.292344,0.00957
teacher_latency_greedy,train,11,17,0,local,1.559729,-0.945601,1.409729,0.140973,73.938002,1,local,1,0.483673,0.918094,1.0,0.23709,0.140973,0.999108,0.006762,0.999945,0.931745,0.013651,0.013651,0.013651,0.013651,0.013651
teacher_latency_greedy,train,16,24,2,edge_50,0.169345,-0.05255,0.092251,0.00688,105.515678,1,cloud,0,0.302066,0.553839,1.0,0.015843,0.013387,0.998707,0.135105,0.998629,0.07436,0.07436,0.07436,0.07436,0.07436,0.628199
teacher_latency_greedy,train,34,37,3,edge_75,0.836822,0.0,0.790945,0.060809,94.868237,1,edge,1,0.226517,0.645403,1.0,0.657822,0.198822,0.998041,0.160931,0.998845,0.059099,0.15591,0.22045,0.25272,0.25272,0.059099
teacher_latency_greedy,train,6,28,5,cloud,1.525097,1.182426,1.521599,0.016201,13.708545,1,cloud,1,0.509804,0.579839,1.0,0.614979,0.694598,0.998532,0.054803,0.999391,0.070027,0.070027,0.070027,0.070027,0.070027,0.649866
