epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.520747,0.561429,1.134512,0.617778
2,0.921834,0.593333,0.762289,0.617778
3,0.757335,0.593333,0.720761,0.617778
4,0.736463,0.593333,0.708094,0.617778
5,0.723731,0.593333,0.692286,0.617778
6,0.70367,0.608571,0.673459,0.677778
7,0.672168,0.668571,0.642422,0.737778
8,0.634578,0.775714,0.607915,0.757778
9,0.59281,0.777619,0.572822,0.757778
10,0.552518,0.785238,0.543178,0.764444
11,0.5181,0.794762,0.520823,0.78
12,0.494291,0.800476,0.500915,0.773333
13,0.475569,0.810952,0.491369,0.777778
14,0.46606,0.810952,0.487444,0.78
15,0.463395,0.810476,0.48374,0.777778
16,0.454019,0.811429,0.48698,0.768889
