run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group
5d054394,2026-04-02T14:54:13.165579,42,PPO_v2,action_prior,500,0.876,1803.7,1.9738,0.0142,77.73,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
4ebc437a,2026-04-02T14:54:50.440227,43,PPO_v2,action_prior,500,0.856,1712.82,2.0064,0.0148,75.57,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
4f91955f,2026-04-02T14:55:27.561501,44,PPO_v2,action_prior,500,0.84,1641.4,2.0234,0.0138,73.88,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
a10b1191,2026-04-02T14:56:00.365663,42,DQN_v2,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
676a8dda,2026-04-02T14:56:33.429256,43,DQN_v2,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
a88173ef,2026-04-02T14:57:07.381533,44,DQN_v2,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
3c6eb399,2026-04-02T14:57:52.410624,42,A2C_v2,action_prior,500,0.838,1702.98,1.9589,0.0124,74.01,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
b45874ed,2026-04-02T14:58:37.409074,43,A2C_v2,action_prior,500,0.848,1674.64,1.9892,0.0166,74.85,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
8f30505c,2026-04-02T14:59:22.481099,44,A2C_v2,action_prior,500,0.862,1670.31,2.0301,0.017,76.05,synthetic_retrain_20260402_145334,synthetic_rl_retraining,,,,,,,,
f931fb97,2026-04-02T16:56:48.400270,42,PPO_v2,action_prior,500,0.788,1234.97,2.3113,0.0333,67.24,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
fb04056d,2026-04-02T16:57:25.727350,43,PPO_v2,action_prior,500,0.754,1112.02,2.343,0.0368,63.69,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
fe7b9e4d,2026-04-02T16:58:03.266345,44,PPO_v2,action_prior,500,0.814,1283.53,2.3831,0.0371,69.48,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
4b16fc02,2026-04-02T16:58:36.367636,42,DQN_v2,action_prior,500,0.762,1071.81,2.3703,0.0378,64.35,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
ac810c47,2026-04-02T16:59:09.288081,43,DQN_v2,action_prior,500,0.762,1102.86,2.3417,0.0336,64.49,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
400dc3f6,2026-04-02T16:59:42.352037,44,DQN_v2,action_prior,500,0.786,1182.95,2.3422,0.0342,66.89,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
f852599f,2026-04-02T17:00:26.532255,42,A2C_v2,action_prior,500,0.762,1071.81,2.3703,0.0378,64.35,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
d744dae3,2026-04-02T17:01:10.286692,43,A2C_v2,action_prior,500,0.762,1102.86,2.3417,0.0336,64.49,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
8f0cafb9,2026-04-02T17:01:54.335976,44,A2C_v2,action_prior,500,0.786,1182.95,2.3422,0.0342,66.89,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_retrain_20260402_165610,synthetic_rl_retraining
724c41ec,2026-04-02T17:18:10.420648,42,PPO_v2,action_prior,500,0.666,979.1,3.5251,0.1372,48.97,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
d418ebb8,2026-04-02T17:18:47.347675,43,PPO_v2,action_prior,500,0.644,820.93,3.5894,0.1413,46.45,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
3f428539,2026-04-02T17:19:24.582515,44,PPO_v2,action_prior,500,0.688,1089.23,3.6733,0.1394,50.43,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
70126fa1,2026-04-02T17:19:57.680676,42,DQN_v2,action_prior,500,0.638,679.78,3.6159,0.1476,45.72,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
f4b1ca8d,2026-04-02T17:20:30.887577,43,DQN_v2,action_prior,500,0.638,784.4,3.6109,0.1404,45.75,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
25edc8c3,2026-04-02T17:21:04.282701,44,DQN_v2,action_prior,500,0.66,835.45,3.6043,0.1408,47.98,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
50ec7443,2026-04-02T17:21:48.271659,42,A2C_v2,action_prior,500,0.638,679.78,3.6159,0.1476,45.72,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
adca0118,2026-04-02T17:22:32.370336,43,A2C_v2,action_prior,500,0.638,784.4,3.6109,0.1404,45.75,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
e74218df,2026-04-02T17:23:16.555667,44,A2C_v2,action_prior,500,0.66,835.45,3.6043,0.1408,47.98,1,0.0,0.0,0.0,1.0,0.0,0.0,3,synthetic_retrain_20260402_171732,synthetic_rl_retraining
