run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group,metric_action_local_rate,metric_action_edge_25_rate,metric_action_edge_50_rate,metric_action_edge_75_rate,metric_action_edge_full_rate,metric_action_cloud_rate
bcb604d7,2026-04-08T18:45:04.725306,42,PPO_from_scratch,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_184401,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
1c880f55,2026-04-08T18:46:09.263780,42,PPO_pretrained_finetuned,action_prior,500,0.802,830.01,2.0888,0.0317,69.76,2,0.0,0.0,0.0,0.27,0.0,0.73,5,synthetic_staged_training_20260408_184401,synthetic_staged_training,0.0,0.0,0.0,0.27,0.0,0.73
6283c1fa,2026-04-08T18:47:14.370043,43,PPO_from_scratch,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_184401,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
4e0a26fe,2026-04-08T18:48:20.375774,43,PPO_pretrained_finetuned,action_prior,500,0.834,1143.51,2.002,0.0182,73.39,2,0.0,0.0,0.0,0.13,0.0,0.87,5,synthetic_staged_training_20260408_184401,synthetic_staged_training,0.0,0.0,0.0,0.13,0.0,0.87
2c1c23e5,2026-04-08T18:49:24.568984,44,PPO_from_scratch,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_184401,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
2b548630,2026-04-08T18:50:29.212411,44,PPO_pretrained_finetuned,action_prior,500,0.82,1002.0,2.0106,0.0293,71.95,2,0.0,0.0,0.0,0.238,0.0,0.762,5,synthetic_staged_training_20260408_184401,synthetic_staged_training,0.0,0.0,0.0,0.238,0.0,0.762
fbb6503f,2026-04-08T23:10:51.957079,42,PPO_from_scratch,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_230956,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
01daf832,2026-04-08T23:11:46.861273,42,PPO_pretrained_finetuned,action_prior,500,0.802,830.01,2.0888,0.0317,69.76,2,0.0,0.0,0.0,0.27,0.0,0.73,5,synthetic_staged_training_20260408_230956,synthetic_staged_training,0.0,0.0,0.0,0.27,0.0,0.73
39f7817c,2026-04-08T23:12:42.160388,43,PPO_from_scratch,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_230956,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
bdf0b708,2026-04-08T23:13:37.694852,43,PPO_pretrained_finetuned,action_prior,500,0.834,1143.51,2.002,0.0182,73.39,2,0.0,0.0,0.0,0.13,0.0,0.87,5,synthetic_staged_training_20260408_230956,synthetic_staged_training,0.0,0.0,0.0,0.13,0.0,0.87
2f6cc4d0,2026-04-08T23:14:32.523341,44,PPO_from_scratch,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_230956,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
3bf80ed1,2026-04-08T23:15:28.599327,44,PPO_pretrained_finetuned,action_prior,500,0.82,1002.0,2.0106,0.0293,71.95,2,0.0,0.0,0.0,0.238,0.0,0.762,5,synthetic_staged_training_20260408_230956,synthetic_staged_training,0.0,0.0,0.0,0.238,0.0,0.762
fe424429,2026-04-08T23:17:36.203151,42,PPO_from_scratch,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_231635,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
5b88d4d9,2026-04-08T23:18:31.990340,42,PPO_pretrained_finetuned,action_prior,500,0.812,856.56,2.0535,0.026,70.93,2,0.0,0.0,0.0,0.212,0.0,0.788,5,synthetic_staged_training_20260408_231635,synthetic_staged_training,0.0,0.0,0.0,0.212,0.0,0.788
a6164c3a,2026-04-08T23:19:27.635018,43,PPO_from_scratch,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_231635,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
fc6356d2,2026-04-08T23:20:25.883430,43,PPO_pretrained_finetuned,action_prior,500,0.838,1061.62,2.002,0.0148,73.79,2,0.0,0.0,0.0,0.06,0.0,0.94,5,synthetic_staged_training_20260408_231635,synthetic_staged_training,0.0,0.0,0.0,0.06,0.0,0.94
58986f4a,2026-04-08T23:21:29.838178,44,PPO_from_scratch,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_231635,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
e76146d1,2026-04-08T23:22:30.358905,44,PPO_pretrained_finetuned,action_prior,500,0.83,958.68,1.9783,0.0213,73.11,2,0.0,0.0,0.0,0.136,0.0,0.864,5,synthetic_staged_training_20260408_231635,synthetic_staged_training,0.0,0.0,0.0,0.136,0.0,0.864
c854df40,2026-04-08T23:33:39.101652,42,PPO_from_scratch,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_233236,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
d5085477,2026-04-08T23:34:45.795260,42,PPO_pretrained_finetuned,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_233236,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
