timestamp,training_step,phase_step,run_name,init_mode,seed,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,batch_id,eval_group,phase_name
2026-04-09T14:15:03.465574,5000,5000,PPO_from_scratch,scratch,42,0.676,1422.19,3.4683,0.1361,50.26,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:15:18.329252,10000,10000,PPO_from_scratch,scratch,42,0.604,1069.87,3.5442,0.1424,42.68,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:15:31.158163,15000,15000,PPO_from_scratch,scratch,42,0.692,1420.92,3.518,0.1406,51.61,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:15:43.400301,20000,20000,PPO_from_scratch,scratch,42,0.872,894.21,1.9805,0.014,77.3,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:15:56.428841,25000,25000,PPO_from_scratch,scratch,42,0.824,646.27,2.0579,0.0173,72.11,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:16:10.443418,30000,30000,PPO_from_scratch,scratch,42,0.852,894.87,1.9762,0.0184,75.32,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:16:28.616436,5000,5000,PPO_pretrained_finetuned,pretrained,42,0.868,1005.95,1.9513,0.0142,77.04,synthetic_staged_training_20260409_141444,synthetic_staged_training,retention
2026-04-09T14:17:19.501965,10000,10000,PPO_pretrained_finetuned,pretrained,42,0.82,904.24,1.998,0.015,72.01,synthetic_staged_training_20260409_141444,synthetic_staged_training,retention
2026-04-09T14:18:27.360530,15000,5000,PPO_pretrained_finetuned,pretrained,42,0.676,1422.19,3.4683,0.1361,50.26,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:18:51.974259,20000,10000,PPO_pretrained_finetuned,pretrained,42,0.604,1069.87,3.5442,0.1424,42.68,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:19:05.919735,25000,15000,PPO_pretrained_finetuned,pretrained,42,0.716,1594.04,3.4373,0.1202,54.41,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:19:19.249862,30000,20000,PPO_pretrained_finetuned,pretrained,42,0.872,894.21,1.9805,0.014,77.3,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:19:32.240527,5000,5000,PPO_from_scratch,scratch,43,0.628,1033.12,3.6391,0.1488,44.6,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:19:43.357377,10000,10000,PPO_from_scratch,scratch,43,0.66,1446.93,3.5629,0.1338,48.19,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:19:54.177032,15000,15000,PPO_from_scratch,scratch,43,0.84,842.12,1.9953,0.0193,74.02,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:20:05.126080,20000,20000,PPO_from_scratch,scratch,43,0.836,902.32,1.9716,0.0197,73.74,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:20:16.770343,25000,25000,PPO_from_scratch,scratch,43,0.824,786.23,2.0362,0.0167,72.22,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:20:30.952124,30000,30000,PPO_from_scratch,scratch,43,0.896,1102.08,1.9794,0.0199,79.7,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:20:50.162656,5000,5000,PPO_pretrained_finetuned,pretrained,43,0.628,1033.12,3.6391,0.1488,44.6,synthetic_staged_training_20260409_141444,synthetic_staged_training,retention
2026-04-09T14:22:09.383834,10000,10000,PPO_pretrained_finetuned,pretrained,43,0.66,1446.93,3.5629,0.1338,48.19,synthetic_staged_training_20260409_141444,synthetic_staged_training,retention
2026-04-09T14:23:08.783193,15000,5000,PPO_pretrained_finetuned,pretrained,43,0.628,1033.12,3.6391,0.1488,44.6,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:23:27.844072,20000,10000,PPO_pretrained_finetuned,pretrained,43,0.66,1446.93,3.5629,0.1338,48.19,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:23:43.586866,25000,15000,PPO_pretrained_finetuned,pretrained,43,0.84,842.12,1.9953,0.0193,74.02,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:23:55.919034,30000,20000,PPO_pretrained_finetuned,pretrained,43,0.836,902.32,1.9716,0.0197,73.74,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:24:09.302479,5000,5000,PPO_from_scratch,scratch,44,0.736,1654.79,3.4434,0.1126,56.38,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:24:21.537770,10000,10000,PPO_from_scratch,scratch,44,0.68,1427.45,3.518,0.135,50.41,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:24:34.737106,15000,15000,PPO_from_scratch,scratch,44,0.736,1512.14,3.55,0.1387,55.85,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:24:50.823929,20000,20000,PPO_from_scratch,scratch,44,0.848,828.8,1.9978,0.0166,74.81,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:25:39.686679,25000,25000,PPO_from_scratch,scratch,44,0.86,887.21,1.9882,0.0144,76.06,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:27:07.974169,30000,30000,PPO_from_scratch,scratch,44,0.856,1139.76,2.0009,0.0128,75.6,synthetic_staged_training_20260409_141444,synthetic_staged_training,scratch
2026-04-09T14:27:32.039158,5000,5000,PPO_pretrained_finetuned,pretrained,44,0.856,921.49,1.9907,0.0167,75.65,synthetic_staged_training_20260409_141444,synthetic_staged_training,retention
2026-04-09T14:27:49.178218,10000,10000,PPO_pretrained_finetuned,pretrained,44,0.848,948.13,1.9834,0.0154,74.88,synthetic_staged_training_20260409_141444,synthetic_staged_training,retention
2026-04-09T14:28:05.195459,15000,5000,PPO_pretrained_finetuned,pretrained,44,0.856,921.49,1.9907,0.0167,75.65,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:28:18.582753,20000,10000,PPO_pretrained_finetuned,pretrained,44,0.848,948.13,1.9834,0.0154,74.88,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:28:31.201905,25000,15000,PPO_pretrained_finetuned,pretrained,44,0.844,911.31,2.001,0.0168,74.39,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
2026-04-09T14:28:45.042388,30000,20000,PPO_pretrained_finetuned,pretrained,44,0.848,828.8,1.9978,0.0166,74.81,synthetic_staged_training_20260409_141444,synthetic_staged_training,refinement
