timestamp,training_step,phase_step,run_name,init_mode,seed,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,batch_id,eval_group,phase_name
2026-04-09T19:08:33.842845,5000,5000,PPO_from_scratch,scratch,42,0.652,1277.71,3.5694,0.1361,47.35,synthetic_staged_training_20260409_190742,synthetic_staged_training,scratch
2026-04-09T19:09:28.683744,10000,10000,PPO_from_scratch,scratch,42,0.584,958.3,3.6489,0.1424,40.16,synthetic_staged_training_20260409_190742,synthetic_staged_training,scratch
2026-04-09T19:10:01.365445,15000,15000,PPO_from_scratch,scratch,42,0.664,1285.88,3.6249,0.1406,48.28,synthetic_staged_training_20260409_190742,synthetic_staged_training,scratch
2026-04-09T19:10:22.429675,20000,20000,PPO_from_scratch,scratch,42,0.664,1201.43,3.6003,0.1406,48.4,synthetic_staged_training_20260409_190742,synthetic_staged_training,scratch
2026-04-09T19:10:39.998071,25000,25000,PPO_from_scratch,scratch,42,0.62,857.18,3.7566,0.1485,43.22,synthetic_staged_training_20260409_190742,synthetic_staged_training,scratch
2026-04-09T19:10:56.656690,30000,30000,PPO_from_scratch,scratch,42,0.652,1390.9,3.6016,0.1385,47.19,synthetic_staged_training_20260409_190742,synthetic_staged_training,scratch
2026-04-09T19:11:14.536666,5000,5000,PPO_pretrained_finetuned,pretrained,42,0.696,947.47,3.3542,0.0782,52.83,synthetic_staged_training_20260409_190742,synthetic_staged_training,retention
2026-04-09T19:11:32.910116,10000,10000,PPO_pretrained_finetuned,pretrained,42,0.664,759.42,3.424,0.0801,49.28,synthetic_staged_training_20260409_190742,synthetic_staged_training,retention
2026-04-09T19:11:58.718223,15000,5000,PPO_pretrained_finetuned,pretrained,42,0.716,1110.96,3.1869,0.0749,55.67,synthetic_staged_training_20260409_190742,synthetic_staged_training,refinement
2026-04-09T19:12:55.802713,20000,10000,PPO_pretrained_finetuned,pretrained,42,0.692,877.51,3.3764,0.07,52.32,synthetic_staged_training_20260409_190742,synthetic_staged_training,refinement
2026-04-09T19:13:56.938041,25000,15000,PPO_pretrained_finetuned,pretrained,42,0.724,1252.06,3.3374,0.0736,55.71,synthetic_staged_training_20260409_190742,synthetic_staged_training,refinement
2026-04-09T19:14:25.313110,30000,20000,PPO_pretrained_finetuned,pretrained,42,0.748,1214.95,3.2505,0.0691,58.55,synthetic_staged_training_20260409_190742,synthetic_staged_training,refinement
2026-04-09T19:14:47.585059,5000,5000,PPO_from_scratch,scratch,43,0.628,973.81,3.7373,0.1488,44.11,synthetic_staged_training_20260409_190742,synthetic_staged_training,scratch
