epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.71628,0.330566,1.565898,0.588889
2,1.409894,0.60376,1.235672,0.515556
3,1.098881,0.625488,1.008042,0.606667
4,0.991734,0.628906,0.94793,0.604444
5,0.922585,0.683594,0.8844,0.671111
6,0.879196,0.692627,0.832575,0.68
7,0.843674,0.708984,0.789953,0.717778
8,0.853768,0.697754,0.811648,0.686667
9,0.824464,0.717041,0.806704,0.717778
10,0.796106,0.736816,0.768674,0.733333
11,0.7729,0.752441,0.765795,0.744444
12,0.772549,0.749023,0.739842,0.733333
13,0.709106,0.778564,0.722855,0.753333
14,0.735085,0.766357,0.714225,0.728889
15,0.710044,0.774414,0.700344,0.764444
16,0.700172,0.776123,0.709899,0.742222
17,0.703366,0.784668,0.664352,0.751111
18,0.667487,0.794189,0.673926,0.757778
19,0.669529,0.799561,0.667767,0.766667
20,0.678218,0.779785,0.666089,0.764444
21,0.678124,0.791748,0.647631,0.78
22,0.659009,0.806152,0.669144,0.762222
23,0.624487,0.794434,0.679295,0.748889
24,0.676013,0.797852,0.632797,0.762222
25,0.614717,0.807617,0.638587,0.762222
26,0.650069,0.802002,0.63188,0.762222
