timestamp,training_step,phase_step,run_name,init_mode,seed,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,batch_id,eval_group,phase_name
2026-04-09T19:50:56.362881,5000,5000,PPO_from_scratch,scratch,42,0.652,1277.71,3.5694,0.1361,47.35,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:51:21.027831,10000,10000,PPO_from_scratch,scratch,42,0.584,958.3,3.6489,0.1424,40.16,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:51:44.537673,15000,15000,PPO_from_scratch,scratch,42,0.664,1285.88,3.6249,0.1406,48.28,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:52:06.518920,20000,20000,PPO_from_scratch,scratch,42,0.664,1201.43,3.6003,0.1406,48.4,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:52:37.725561,25000,25000,PPO_from_scratch,scratch,42,0.62,857.18,3.7566,0.1485,43.22,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:53:31.035471,30000,30000,PPO_from_scratch,scratch,42,0.652,1390.9,3.6016,0.1385,47.19,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:54:13.558984,5000,5000,PPO_pretrained_finetuned,pretrained,42,0.732,1596.28,2.9627,0.0861,58.39,synthetic_staged_training_20260409_195002,synthetic_staged_training,retention
2026-04-09T19:54:43.925159,10000,10000,PPO_pretrained_finetuned,pretrained,42,0.692,1313.31,2.8915,0.0762,54.74,synthetic_staged_training_20260409_195002,synthetic_staged_training,retention
2026-04-09T19:55:15.803265,15000,5000,PPO_pretrained_finetuned,pretrained,42,0.736,1607.82,2.9555,0.0846,58.82,synthetic_staged_training_20260409_195002,synthetic_staged_training,refinement
2026-04-09T19:55:53.249977,20000,10000,PPO_pretrained_finetuned,pretrained,42,0.684,1301.42,2.8945,0.0787,53.93,synthetic_staged_training_20260409_195002,synthetic_staged_training,refinement
2026-04-09T19:56:29.383822,25000,15000,PPO_pretrained_finetuned,pretrained,42,0.712,1610.09,3.0364,0.0837,56.02,synthetic_staged_training_20260409_195002,synthetic_staged_training,refinement
2026-04-09T19:57:02.668212,30000,20000,PPO_pretrained_finetuned,pretrained,42,0.732,1508.72,3.0926,0.0801,57.74,synthetic_staged_training_20260409_195002,synthetic_staged_training,refinement
2026-04-09T19:57:28.242975,5000,5000,PPO_from_scratch,scratch,43,0.628,973.81,3.7373,0.1488,44.11,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:57:49.636012,10000,10000,PPO_from_scratch,scratch,43,0.648,1305.32,3.6651,0.1338,46.47,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:58:11.882886,15000,15000,PPO_from_scratch,scratch,43,0.648,1312.42,3.6133,0.1384,46.73,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:58:46.882938,20000,20000,PPO_from_scratch,scratch,43,0.664,1415.07,3.5762,0.1392,48.52,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T19:59:53.665683,25000,25000,PPO_from_scratch,scratch,43,0.632,1140.71,3.7141,0.141,44.63,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T20:00:27.743997,30000,30000,PPO_from_scratch,scratch,43,0.74,1768.94,3.6183,0.1326,55.91,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T20:00:50.060562,5000,5000,PPO_pretrained_finetuned,pretrained,43,0.708,1287.98,3.1019,0.08,55.29,synthetic_staged_training_20260409_195002,synthetic_staged_training,retention
2026-04-09T20:01:08.455569,10000,10000,PPO_pretrained_finetuned,pretrained,43,0.72,1607.09,3.028,0.0728,56.86,synthetic_staged_training_20260409_195002,synthetic_staged_training,retention
2026-04-09T20:01:26.129187,15000,5000,PPO_pretrained_finetuned,pretrained,43,0.724,1293.89,3.0896,0.0736,56.95,synthetic_staged_training_20260409_195002,synthetic_staged_training,refinement
2026-04-09T20:01:44.663070,20000,10000,PPO_pretrained_finetuned,pretrained,43,0.72,1622.47,3.0306,0.0747,56.85,synthetic_staged_training_20260409_195002,synthetic_staged_training,refinement
2026-04-09T20:02:05.382575,25000,15000,PPO_pretrained_finetuned,pretrained,43,0.716,1565.61,3.0931,0.0831,56.13,synthetic_staged_training_20260409_195002,synthetic_staged_training,refinement
2026-04-09T20:02:49.468767,30000,20000,PPO_pretrained_finetuned,pretrained,43,0.756,1736.66,2.8647,0.078,61.28,synthetic_staged_training_20260409_195002,synthetic_staged_training,refinement
2026-04-09T20:03:56.515990,5000,5000,PPO_from_scratch,scratch,44,0.664,1312.39,3.6257,0.1387,48.27,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T20:04:28.809000,10000,10000,PPO_from_scratch,scratch,44,0.668,1322.45,3.6294,0.135,48.65,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T20:04:49.469105,15000,15000,PPO_from_scratch,scratch,44,0.704,1371.36,3.6504,0.1387,52.15,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T20:05:06.521743,20000,20000,PPO_from_scratch,scratch,44,0.66,1282.7,3.6465,0.1395,47.77,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T20:05:22.148032,25000,25000,PPO_from_scratch,scratch,44,0.664,1373.24,3.6112,0.1362,48.34,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
2026-04-09T20:05:39.630769,30000,30000,PPO_from_scratch,scratch,44,0.716,1802.1,3.6609,0.1229,53.3,synthetic_staged_training_20260409_195002,synthetic_staged_training,scratch
