epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.694818,0.341553,1.578297,0.366667
2,1.28538,0.665527,1.301974,0.44
3,0.917556,0.665527,1.03579,0.544444
4,0.787281,0.664795,0.846086,0.593333
5,0.655917,0.694336,0.789861,0.611111
6,0.577159,0.756592,0.697053,0.704444
7,0.559103,0.752441,0.621761,0.753333
8,0.532474,0.767334,0.66867,0.731111
9,0.505881,0.782959,0.574539,0.744444
10,0.484601,0.781738,0.573518,0.757778
11,0.485257,0.791748,0.557713,0.764444
12,0.463407,0.799561,0.558857,0.757778
13,0.444694,0.812744,0.535612,0.771111
14,0.434956,0.810303,0.528437,0.768889
15,0.409124,0.83667,0.474256,0.784444
16,0.407183,0.828369,0.482023,0.786667
17,0.391699,0.838379,0.467187,0.826667
18,0.381003,0.829834,0.482913,0.795556
19,0.370454,0.850098,0.484278,0.771111
20,0.367217,0.845947,0.504988,0.824444
21,0.367547,0.850098,0.524437,0.775556
22,0.334009,0.860352,0.463515,0.806667
