epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.723774,0.303223,1.543241,0.608889
2,1.455379,0.597412,1.235655,0.533333
3,1.179159,0.617188,0.995098,0.577778
4,1.082568,0.62915,0.886011,0.608889
5,1.035409,0.646484,0.850226,0.62
6,1.004045,0.659912,0.784621,0.713333
7,0.986324,0.668213,0.829145,0.626667
8,0.95871,0.682373,0.796075,0.644444
9,0.990024,0.67627,0.767229,0.715556
10,0.975903,0.686279,0.780075,0.715556
11,0.921728,0.709229,0.806271,0.642222
12,0.915118,0.715332,0.737684,0.72
13,0.933197,0.701416,0.749774,0.717778
14,0.922066,0.714111,0.73885,0.735556
15,0.930557,0.713867,0.757508,0.713333
16,0.931871,0.722168,0.764006,0.717778
17,0.883657,0.725586,0.767125,0.708889
18,0.869616,0.745361,0.709195,0.748889
19,0.854515,0.744629,0.759034,0.728889
20,0.854466,0.745361,0.721208,0.742222
21,0.848788,0.744385,0.691276,0.764444
22,0.838554,0.753662,0.661586,0.762222
23,0.837133,0.748047,0.657502,0.773333
24,0.795872,0.762207,0.682677,0.766667
25,0.817167,0.753418,0.687371,0.762222
26,0.803595,0.750244,0.666485,0.78
27,0.796088,0.754639,0.660495,0.782222
28,0.787868,0.76123,0.682248,0.768889
29,0.801811,0.753662,0.64748,0.78
30,0.773821,0.755371,0.658956,0.784444
