timestamp,training_step,phase_step,run_name,init_mode,seed,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,batch_id,eval_group,phase_name
2026-04-09T18:32:00.225660,5000,5000,PPO_from_scratch,scratch,42,0.652,1277.71,3.5694,0.1361,47.35,synthetic_staged_training_20260409_183142,synthetic_staged_training,scratch
2026-04-09T18:32:15.793284,10000,10000,PPO_from_scratch,scratch,42,0.584,958.3,3.6489,0.1424,40.16,synthetic_staged_training_20260409_183142,synthetic_staged_training,scratch
2026-04-09T18:32:30.320899,15000,15000,PPO_from_scratch,scratch,42,0.664,1285.88,3.6249,0.1406,48.28,synthetic_staged_training_20260409_183142,synthetic_staged_training,scratch
2026-04-09T18:32:43.493815,20000,20000,PPO_from_scratch,scratch,42,0.664,1201.43,3.6003,0.1406,48.4,synthetic_staged_training_20260409_183142,synthetic_staged_training,scratch
2026-04-09T18:32:56.212439,25000,25000,PPO_from_scratch,scratch,42,0.62,857.18,3.7566,0.1485,43.22,synthetic_staged_training_20260409_183142,synthetic_staged_training,scratch
2026-04-09T18:33:10.330302,30000,30000,PPO_from_scratch,scratch,42,0.652,1390.9,3.6016,0.1385,47.19,synthetic_staged_training_20260409_183142,synthetic_staged_training,scratch
2026-04-09T18:33:27.333729,5000,5000,PPO_pretrained_finetuned,pretrained,42,0.804,1185.71,2.2406,0.0362,69.2,synthetic_staged_training_20260409_183142,synthetic_staged_training,retention
2026-04-09T18:33:45.531114,10000,10000,PPO_pretrained_finetuned,pretrained,42,0.724,880.53,2.2911,0.0381,60.94,synthetic_staged_training_20260409_183142,synthetic_staged_training,retention
2026-04-09T18:34:12.922424,15000,5000,PPO_pretrained_finetuned,pretrained,42,0.796,1235.84,2.3165,0.0402,68.02,synthetic_staged_training_20260409_183142,synthetic_staged_training,refinement
2026-04-09T18:35:04.625282,20000,10000,PPO_pretrained_finetuned,pretrained,42,0.724,946.27,2.3608,0.0421,60.6,synthetic_staged_training_20260409_183142,synthetic_staged_training,refinement
2026-04-09T18:36:06.910400,25000,15000,PPO_pretrained_finetuned,pretrained,42,0.756,1262.17,2.4182,0.0524,63.51,synthetic_staged_training_20260409_183142,synthetic_staged_training,refinement
2026-04-09T18:36:49.103013,30000,20000,PPO_pretrained_finetuned,pretrained,42,0.764,1157.85,2.5956,0.0506,63.42,synthetic_staged_training_20260409_183142,synthetic_staged_training,refinement
2026-04-09T18:37:14.466730,5000,5000,PPO_from_scratch,scratch,43,0.628,973.81,3.7373,0.1488,44.11,synthetic_staged_training_20260409_183142,synthetic_staged_training,scratch
2026-04-09T18:37:32.253046,10000,10000,PPO_from_scratch,scratch,43,0.648,1305.32,3.6651,0.1338,46.47,synthetic_staged_training_20260409_183142,synthetic_staged_training,scratch
