epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.726659,0.367432,1.568217,0.58
2,1.465213,0.513672,1.137716,0.735556
3,1.212801,0.590332,0.829702,0.728889
4,1.065031,0.625488,0.687039,0.751111
5,1.020569,0.634277,0.67798,0.737778
6,0.998053,0.666992,0.640099,0.737778
7,0.949619,0.685059,0.635085,0.762222
8,0.957658,0.679932,0.61936,0.786667
9,0.930949,0.68457,0.617665,0.764444
10,0.911724,0.697998,0.622355,0.782222
11,0.888779,0.695312,0.628504,0.768889
12,0.881546,0.69873,0.591607,0.782222
13,0.857392,0.697754,0.636642,0.773333
